ruta_final
"[[4, 19, 40, 23], [11, 5, 30, 20, 35, 28, 8], [17, 37, 33, 45, 41, 13, 25, 6], [46, 38, 10, 34, 29, 2, 31, 18], [32, 1, 7, 43, 14, 44, 12], [42, 49, 9, 50, 21, 36, 3, 22, 26, 48, 27], [24, 47, 15, 39, 16]]"
"[[7, 31, 36, 3, 22, 32, 30, 39, 12], [4, 19, 24, 43, 23, 48, 20, 38, 49, 10, 5], [2, 35, 16, 50, 34, 9, 33, 45, 42], [27, 1, 28, 8, 6, 14, 25, 41, 46], [47, 13, 40, 15, 37, 11, 21, 29, 26], [18, 17, 44]]"
"[[22, 38, 12, 19, 41], [15, 47, 25, 43, 23, 7, 26, 3, 29, 11], [32, 28, 35, 2, 50, 34, 33, 45], [48, 6, 14, 13, 40, 42, 49, 30, 21, 16], [24, 8, 31, 36, 20], [18, 4, 17, 37, 44, 39, 10, 9, 5, 46, 1, 27]]"
"[[2, 35, 36, 22, 1, 48, 26, 23, 14, 44, 37], [46, 42, 45, 33, 39, 38, 21, 29, 20, 31, 8], [5, 17, 47, 4, 13, 7, 32], [12, 18, 41, 40, 19, 15, 10, 50, 27], [6, 28, 3, 34, 11], [25, 24, 43, 16, 9, 30, 49]]"
"[[18, 13, 24, 43, 31, 8], [5, 38, 16, 21, 34, 45, 41, 7, 26, 32], [19, 40, 6, 23, 27, 3, 36, 20, 29, 11], [47, 37, 10, 9, 35, 28, 22, 1, 48], [46, 50, 30, 39, 49, 15, 44, 42, 17, 4], [14, 25, 12, 33, 2]]"
"[[5, 39, 34, 50, 20, 8, 1, 32], [9, 45, 19, 13, 18, 24, 43, 7], [12, 41, 42, 37, 10, 49, 11, 2, 26], [25, 6, 16], [27, 22, 28, 36, 35, 21, 30, 33, 15, 44, 17], [46, 38, 29, 3, 31, 48, 23, 14, 40, 4, 47]]"
"[[11, 28], [47, 4, 41, 13, 18, 6], [21, 34, 49, 44, 40, 43, 27], [5, 10, 30, 50, 31, 8, 26, 7, 48], [46, 12, 15, 45, 33, 39, 16, 22], [32, 1, 24, 14, 25, 19, 17, 37], [23, 2, 3, 36, 35, 20, 29, 9, 38, 42]]"
"[[47, 6, 1, 2, 32], [44, 19, 41, 18, 24, 43, 8, 3], [28, 20, 50, 38, 5], [13, 4, 17, 37, 15, 33, 49, 9, 30, 21, 36, 16], [12, 11, 10, 39, 35, 31, 22, 27, 48, 14], [23, 7, 26, 29, 34, 45, 42, 40, 25, 46]]"
"[[4, 13, 41, 40, 42, 15, 45, 10, 2], [1, 35, 26, 7, 43, 23], [46, 20, 34, 9, 38, 33, 37, 17, 19], [32, 49, 30, 39, 44, 14, 6, 8, 27], [5, 29, 36, 48, 24, 25, 18, 47], [12, 11, 16, 50, 21, 3, 28, 31, 22]]"
"[[10, 30, 9, 29, 22, 31, 26, 23, 43, 24, 14, 13, 40, 17], [47, 18, 6], [46, 37, 38, 50, 20, 36, 3, 28, 1, 32], [2, 39, 33, 45, 44, 12, 25], [27, 11, 35, 34, 49, 42, 4], [41, 19, 15, 5, 16, 21, 8, 7, 48]]"
"[[27, 28, 36, 11, 16, 30, 10, 33, 15, 37, 47], [14], [1, 48, 8, 31, 3, 35, 29, 50, 9, 39, 5], [17, 4, 41, 19, 42, 44, 49, 38, 2], [6, 18, 13, 24, 43, 23, 20], [46, 12, 45, 40, 25, 7, 26, 22, 21, 34, 32]]"
"[[12, 5, 16, 22], [6, 23, 43, 24, 14, 25, 42, 17, 49, 11], [33, 38, 20, 36, 3, 28, 26, 48], [7, 8, 31, 2, 50, 39, 10, 15, 19, 13, 46], [21, 34, 37, 40, 41, 47], [32, 1, 35, 29, 9, 30, 45, 44, 4, 18], [27]]"
"[[25, 13, 40, 19, 45, 49, 21, 2, 27], [5, 38, 1, 31, 8, 23, 18], [39, 33, 15, 12], [6, 24, 43, 48, 22, 36, 35, 16, 34, 30, 37], [4, 42, 41, 14, 7, 26, 28, 9, 11, 46], [47, 17, 44, 10, 50, 29, 20, 3, 32]]"
"[[2, 9, 12], [49, 33, 10, 30, 34, 16, 36, 3, 32, 27], [8, 23, 24, 6, 14, 25, 19, 4], [26, 35, 29, 21, 50, 39, 42, 40, 41, 46], [7, 13, 18, 47, 44, 15, 38], [17, 37, 45, 5, 11, 20, 28, 31, 22, 1, 48, 43]]"
"[[11, 49, 16, 21, 29, 20, 36, 26, 23, 14], [32, 28, 38, 5, 47, 18], [50, 22, 31, 8, 7, 43, 25, 41, 19], [46, 9, 30, 37, 17, 42, 13, 4, 12, 6], [44, 10, 34, 35, 3, 1, 48], [27, 24, 40, 15, 45, 33, 39, 2]]"
"[[27, 26, 28, 22, 20, 21, 9, 38, 10, 37, 47], [33, 15, 4, 41, 25, 14], [46, 19, 44, 39, 50, 11, 29, 35, 36, 3, 43, 24, 6], [12, 17, 45, 40, 13, 18], [32, 16, 34, 2, 1, 31, 8, 7, 23], [48, 42, 30, 49, 5]]"
"[[6, 27, 1, 31, 23, 13, 4, 42, 10, 49, 50, 38], [39, 44, 37, 17, 18, 25, 14], [11, 30, 21, 20, 2, 32], [7, 43, 24, 41, 40, 15, 34, 29], [48, 8, 26, 28, 36, 35, 3], [46, 5, 12, 47, 19, 45, 33, 9, 16, 22]]"
"[[23, 18, 13, 4, 44, 37], [31, 8, 6, 14, 40, 33, 5], [47, 41, 49, 50, 16, 29, 2, 46], [27, 1, 28, 7, 25, 15, 30, 34, 38], [24, 43, 26, 48, 22, 36, 21, 39, 10, 45, 42, 19, 17, 12], [32, 3, 35, 20, 9, 11]]"
"[[12, 37, 15, 30, 34, 16, 2, 32], [18, 43, 26], [5, 45, 39, 9, 38, 11, 3, 28, 6], [27, 48, 23, 7, 22, 20, 21, 44, 42, 40, 46], [1, 24, 14, 25, 13, 41, 19], [8, 31, 36, 35, 29, 50, 49, 10, 33, 17, 4, 47]]"
"[[13, 42, 45, 33, 30, 36, 22, 2, 11], [27, 21, 26, 43, 24, 18, 4, 47, 12], [35, 46], [14, 23, 7, 1, 29, 34, 39, 10, 15, 37, 17, 19, 40], [6, 25, 41, 5, 49, 38, 3, 32], [44, 9, 50, 16, 20, 28, 31, 8, 48]]"
