ruta_final
"[[6, 48, 23, 7, 43, 24, 14, 25, 13], [16, 21, 29, 20, 35, 36, 31, 26, 8], [49, 10, 39, 33, 45, 15, 37, 12], [18, 41, 40, 19, 42, 44, 17, 4, 47], [11, 50, 34, 30, 9, 38, 5, 46], [27, 1, 22, 28, 3, 2, 32]]"
"[[47, 37, 15, 45, 33, 39, 30, 10, 5], [44, 42, 19, 40, 41, 13, 18], [14, 25, 4, 17, 49, 9, 34, 50, 38], [24, 43, 23, 48, 27], [11, 16, 21, 29, 20, 3, 22, 1, 32], [6, 7, 26, 8, 31, 28, 36, 35, 2], [46, 12]]"
"[[47, 18, 25, 14, 27, 1, 32], [46, 12, 17, 42, 19, 40, 41, 13, 4], [11, 38, 16, 2, 26, 7, 43, 24, 23, 6], [3, 36, 35, 20, 29, 21, 34, 50, 9, 5], [49, 10, 30, 39, 33, 45, 15, 44, 37], [48, 8, 31, 28, 22]]"
"[[14, 25, 18, 4, 47, 12], [46, 38, 9, 30, 39, 33, 10, 49, 5], [11, 2, 29, 20, 28, 31, 8], [16, 50, 34, 21, 35, 36, 3, 22, 1, 32], [6, 23, 24, 43, 7, 26, 48, 27], [13, 41, 40, 19, 42, 44, 45, 15, 37, 17]]"
"[[32, 1, 22, 29, 21, 34, 50, 9, 38, 5, 15, 37, 46], [6, 24, 14, 25, 18, 47], [20, 35, 36, 3, 28, 31, 26, 8, 48, 27], [23, 7, 43, 13, 41, 40, 19, 4, 12], [2, 16, 11], [17, 42, 44, 45, 33, 39, 30, 10, 49]]"
"[[6, 13, 41, 40, 19, 42, 44, 5], [46, 11, 38, 49, 9, 50, 34, 21, 29, 32], [48, 23, 7, 43, 24, 25, 14], [12, 37, 17, 4, 18, 47], [20, 35, 36, 3, 28, 31, 26, 8], [15, 45, 33, 39, 10, 30, 16, 2, 22, 1, 27]]"
"[[47, 18, 4, 17, 37, 15, 45, 33, 49], [46, 11, 5, 12, 24, 43, 7, 23, 6], [27, 48, 8, 26, 31, 28, 36, 35, 1], [14, 25, 13, 41, 40, 19, 42, 44], [22, 3, 20, 29, 21, 34, 30, 39, 10], [38, 9, 50, 16, 2, 32]]"
"[[38, 9, 49, 5], [1, 22, 31, 28, 3, 36, 35, 20, 2], [25, 13, 41, 40, 19, 42, 44, 17, 47], [32, 11, 16, 50, 30, 10, 39, 33, 45, 15, 37, 46], [6, 14, 24, 43, 23, 7, 26, 8, 48, 27], [18, 4, 12, 34, 21, 29]]"
"[[14, 25, 18, 17, 37, 12, 47], [22, 2, 20, 35, 36, 3, 28, 31, 26, 8], [46, 27, 48, 7, 43, 24, 23, 6], [4, 42, 19, 40, 41, 13], [38, 9, 34, 30, 10, 39, 33, 45, 15, 44], [5, 49, 50, 21, 29, 16, 11, 32, 1]]"
"[[18, 13, 41, 40, 19, 42, 44, 37, 17], [12, 15, 45, 33, 39, 34, 50, 16, 38], [46, 11, 2, 22, 1, 32], [6, 23, 24, 43, 7, 48, 27], [14, 25, 4, 47, 5, 49, 10, 30, 9], [21, 29, 20, 35, 36, 3, 28, 31, 26, 8]]"
