ruta_final
"[[40, 19, 42, 41, 13, 18, 47], [46, 32, 11, 25, 14, 24, 43], [2, 29, 20, 36, 35, 3, 28, 22, 1], [6, 23, 7, 26, 31, 8, 48, 27], [9, 16, 50, 21, 34, 30, 10, 49, 38], [5, 39, 33, 45, 15, 44, 37, 17, 4, 12]]"
"[[18, 17, 4, 24, 43, 7, 23, 48, 27], [38, 49, 30, 39, 10, 45, 33, 42, 44, 15, 37], [19, 40, 41, 13, 25, 14, 6], [47, 12, 5, 46], [11, 9, 16, 2, 22, 28, 31, 26, 8], [1, 50, 34, 21, 29, 20, 35, 36, 3, 32]]"
"[[47, 4, 44, 37, 15, 42, 45, 33, 39, 10], [8, 26, 31, 28, 29, 21, 50, 16, 38], [12, 5, 49, 30, 34, 9], [32, 22, 3, 36, 35, 20, 2, 11, 46], [6, 23, 43, 24, 7, 48, 1, 27], [17, 41, 40, 19, 13, 18, 25, 14]]"
"[[46, 6, 18, 4, 17, 49, 9, 38], [1, 22, 8, 26, 27], [47, 42, 19, 40, 41, 13, 25, 14], [48, 7, 43, 24, 23, 31, 28, 3, 2], [32, 20, 35, 36, 34, 21, 29, 50, 16, 11], [5, 10, 30, 39, 33, 45, 15, 44, 37, 12]]"
"[[18, 13, 41, 19, 40, 42, 4, 17, 47], [38, 49, 9, 50, 34, 30, 39, 10, 5], [48, 7, 43, 23, 6, 24, 14, 25], [46, 11, 2, 20, 3, 22, 8, 1], [26, 31, 28, 35, 36, 29, 21, 16, 32, 27], [12, 37, 15, 33, 45, 44]]"
"[[46, 18, 25, 13, 40, 41, 19, 42], [6, 14, 24, 23, 43, 7, 48, 27], [12, 47, 4, 44, 15, 45, 37, 17], [1, 26, 8, 31, 28, 29, 21, 34, 30, 49], [32, 22, 36, 3, 35, 20, 2], [5, 33, 39, 10, 9, 50, 16, 38, 11]]"
"[[5, 45, 15, 33, 39, 10, 30, 34, 9, 49], [6, 24, 43, 7, 23], [14, 13, 25, 18, 47], [12, 46], [37, 17, 44, 42, 19, 40, 41, 4], [32, 11, 38, 16, 2, 35, 36, 22, 1, 27], [48, 8, 31, 26, 28, 3, 20, 29, 21, 50]]"
"[[48, 23, 7, 43, 24, 25, 14, 47, 46], [38, 9, 30, 34, 50, 16, 11], [12, 5, 49, 10, 39, 33, 45, 15], [21, 29, 20, 35, 36, 3, 2], [6, 27, 32, 1, 22, 31, 28, 26, 8], [4, 18, 41, 13, 40, 19, 42, 44, 17, 37]]"
"[[17, 37, 44, 42, 40, 19, 41, 13, 4], [5, 49, 10, 39, 9, 34, 30, 33, 45, 15], [22, 28, 3, 20, 35, 36, 31, 26, 8, 48], [27, 6, 24, 23, 43, 7], [46, 12, 47, 18, 25, 14], [32, 11, 2, 38, 50, 29, 16, 21, 1]]"
"[[25, 24, 43, 7, 26, 8, 22, 2, 11, 46], [6, 27, 1, 48, 23, 14], [18, 13, 41, 40, 42, 19, 4], [32, 28, 31, 3, 36, 20, 35, 29, 21, 16], [9, 34, 50, 30, 39, 10, 33, 45, 15, 44, 37, 17], [47, 12, 38, 49, 5]]"
"[[32, 11, 16, 21, 29, 20, 35, 36, 3, 2], [49, 30, 39, 10, 34, 50, 9, 38], [8, 26, 31, 28, 22, 1], [18, 13, 41, 40, 19, 42, 44], [48, 23, 7, 43, 24, 25, 14], [46, 5, 33, 45, 15, 37], [12, 17, 4, 47, 6, 27]]"
"[[16, 50, 34, 39, 33, 45, 15, 10, 30, 9], [11, 32, 22, 3, 35, 36, 20, 29, 21, 2], [46, 12, 37, 38, 49, 5], [47, 4, 18, 25, 14, 6, 27], [17, 44, 42, 13, 40, 19, 41], [1, 8, 28, 31, 26, 7, 43, 24, 23, 48]]"
"[[23, 7, 26, 8, 43, 24, 25, 14], [47, 17, 4, 18, 6], [46, 12, 37, 44, 42, 19, 40, 41, 13], [48, 31, 28, 20, 29, 21, 10, 49, 9, 50, 16, 38], [27, 1, 22, 3, 36, 35, 2], [5, 15, 45, 33, 39, 30, 34, 11, 32]]"
"[[27, 1, 31, 28, 3, 20, 36, 35, 22, 32], [48, 8, 26, 7, 23, 43, 24, 6, 46], [12, 5, 10, 30, 39, 33, 45, 15], [11, 38, 49, 9, 50, 34, 21, 29, 2, 16], [4, 40, 19, 42, 44, 37, 17, 47], [14, 25, 41, 13, 18]]"
"[[15, 45, 33, 39, 34, 21, 36, 35, 20, 29], [32, 1, 22, 31, 28, 3, 2, 16, 11], [47, 4, 13, 40, 19, 41, 42, 44, 37], [46, 5, 10, 30, 50, 9, 49, 38], [12, 17, 18, 25, 14, 6, 27], [24, 43, 23, 7, 26, 8, 48]]"
"[[32, 16, 34, 30, 39, 10, 38, 11, 27], [37, 33, 45, 15, 49, 5, 12, 46], [8, 26, 31, 28, 36, 3, 35, 20, 22], [18, 25, 24, 43, 7, 23, 14], [9, 50, 21, 29, 2, 1, 48, 6], [4, 13, 41, 40, 19, 42, 44, 17, 47]]"
"[[13, 41, 40, 19, 42, 44, 37, 12], [38, 9, 21, 29, 20, 2], [14, 25, 24, 43, 23, 7, 48], [49, 39, 33, 10, 30, 34, 50, 16, 11], [32, 28, 36, 35, 3, 26, 8, 31, 22, 1, 27], [5, 15, 45, 17, 4, 18, 47, 6, 46]]"
"[[46, 5, 10, 30, 39, 34, 49, 12], [37, 44, 45, 33, 15, 47], [4, 17, 40, 42, 19, 41, 13, 25, 14, 6], [38, 9, 50, 16, 20, 2, 29, 21, 11, 32], [27, 8, 31, 28, 36, 35, 3, 22, 1], [48, 26, 7, 23, 43, 24, 18]]"
