ruta_final
"[[18, 23, 43, 20], [46, 14, 13, 37, 5, 50, 35, 28, 26, 1, 38], [40, 45, 49, 16, 2, 36, 31, 48, 7, 27, 32], [8, 22, 3, 34, 9, 6], [25, 24, 4, 19, 17, 47, 12], [41, 42, 44, 15, 33, 10, 39, 30, 29, 21, 11]]"
"[[15, 34, 36, 18], [27, 11, 16, 35, 20, 29, 39, 49], [6, 7, 23, 43, 24, 4, 37, 45, 44, 17, 5], [21, 38, 42, 41, 47, 12], [46, 50, 9, 2, 1, 8, 26, 48], [33, 10, 30, 32, 22, 3, 28, 31], [19, 40, 13, 25, 14]]"
"[[32, 17, 19, 10, 49, 50, 16, 35, 36, 3, 7, 23], [9, 4, 13, 6, 27], [37, 40, 39, 30, 29, 20, 2, 22, 1, 11, 46], [12, 47, 25, 28, 31, 38], [26, 8, 21, 34, 15, 44, 41, 42], [5, 45, 33, 18, 14, 43, 24, 48]]"
"[[48, 18, 4, 19, 40, 41, 38, 50, 36, 3], [33, 45, 42, 17, 32, 31, 8, 7, 12], [11, 9, 39, 34, 21, 20, 2], [26, 25, 47], [46, 14, 24, 27, 1, 29, 16, 30, 15, 44, 37], [13, 5, 10, 49, 35, 28, 22, 43, 23, 6]]"
"[[49, 30, 50, 5, 44, 12, 1, 23], [46, 32, 35, 28, 7, 24, 6, 40, 19, 42, 37, 4], [27, 26, 22, 25, 18, 13, 41, 15], [17, 47, 38, 29, 31, 48], [3, 36, 21, 34, 39, 10, 33, 45], [14, 43, 8, 2, 20, 9, 16, 11]]"
"[[48, 26, 28, 2, 35, 9, 34, 10, 39, 4], [27, 50, 16, 33, 45, 42, 41, 18], [43, 13, 19, 40, 44, 47, 12, 5], [29, 20, 36, 3, 31, 7, 24, 32, 38, 49, 15, 17], [6, 25, 14, 23, 22, 1, 30, 21, 46], [8, 11, 37]]"
"[[14, 24, 7, 23, 22, 27, 47, 5, 37, 40, 4], [46, 18, 43, 26, 1, 34, 50, 10, 44, 19], [32, 20, 3, 31, 28, 48, 41, 13], [8, 16, 29, 39, 33, 15, 42], [36, 35, 2, 11], [25, 6, 12, 17, 45, 49, 30, 21, 9, 38]]"
"[[11, 38, 50, 16, 28, 1, 26, 24, 43, 6], [46, 27, 20, 3, 2, 37, 47], [15, 42, 4, 18, 23, 48, 12], [32, 45, 10, 49, 9, 34, 29, 5, 17, 40, 25], [22, 8, 14, 41, 19], [7, 13, 31, 36, 35, 21, 30, 39, 33, 44]]"
"[[8, 23, 43, 13, 17], [26, 31, 3, 20, 35, 2, 49, 5], [47, 36, 30, 10, 15, 37, 24, 14, 25, 41], [11, 38, 9, 21, 29, 28, 22, 12, 19, 42, 44], [46, 40, 4, 45, 33, 39, 50, 32, 27, 6, 48], [34, 16, 1, 7, 18]]"
"[[23, 6, 47, 41, 40, 19, 42, 17, 37, 11], [14, 26, 22, 21, 34, 50, 9, 10, 49, 38], [18, 7, 24, 31, 29, 16, 39, 15], [5, 30, 20, 3, 32, 1, 8, 48], [27, 13, 4, 12, 46], [2, 35, 36, 28, 43, 25, 44, 33, 45]]"
"[[12, 27, 8, 26, 31, 1, 22, 29, 10, 38, 11], [41, 19, 15, 33, 30, 9, 49], [34, 2, 48, 6, 24], [44, 7, 23, 28, 36, 35, 21, 50, 32], [25, 13, 40, 47, 5, 39], [43, 18, 4, 17, 42, 45, 37, 46, 16, 20, 3], [14]]"
"[[35, 50, 9, 38, 5, 33, 15, 44, 17, 6, 46], [7, 1, 3, 20, 36, 21, 49, 10, 37], [32, 34, 30], [12, 18, 4, 42, 41, 14, 48], [2, 29, 16, 45, 40, 19, 22, 28, 31, 26, 23, 24], [47, 39, 11, 27, 8, 43, 13, 25]]"
"[[8, 48, 36, 30], [27, 7, 43, 26, 28, 3, 29, 21, 16, 49], [46, 1, 50, 10, 33, 42, 13, 41, 24, 23], [47, 4, 44, 39, 5, 9, 2, 22, 31, 6], [32, 20, 35, 38, 11, 45, 17, 12], [14, 25, 18, 19, 40, 15, 37, 34]]"
"[[46, 22, 11, 30, 49, 33, 19, 41], [4, 44, 42, 37, 10, 21, 20, 43, 6], [2, 16, 3, 31, 8], [47, 5, 39, 50, 34, 29, 32, 1, 26], [40, 13, 25, 18, 14, 7, 48], [15, 45, 17, 27, 23, 24, 28, 36, 35, 9, 38, 12]]"
"[[46, 4, 44, 42, 37, 5, 33, 39, 10, 9, 28], [47, 49, 45, 15, 14, 43, 24, 36, 20, 16], [13, 23, 7, 26, 31, 8, 21, 34, 38, 22], [18, 17], [12, 19, 40, 41, 25, 6, 35, 11], [32, 30, 50, 29, 2, 3, 1, 27, 48]]"
"[[12, 37, 4, 48, 28, 36, 35, 32], [23, 6, 14, 41, 19, 40, 42, 45, 38, 29], [46, 30, 49, 47, 13, 7, 27], [44, 39, 50, 21, 16, 2, 8], [24, 18, 26, 1, 34, 10, 33, 15], [25, 43, 17, 5, 9, 20, 3, 31, 22, 11]]"
"[[28, 36, 21, 15, 45, 17, 12, 46], [6, 24, 48, 3, 16, 44, 47], [32, 20, 35, 9, 34, 30, 39, 49, 27], [7, 13, 42, 40, 4, 18], [37, 5, 10, 38, 11, 29, 1, 22, 31, 8, 43, 23], [26, 2, 50, 33, 19, 41, 14, 25]]"
"[[46, 11, 16, 22, 18, 4, 47, 6], [25, 13, 33, 10, 34, 2, 8], [12, 24, 43, 7, 14, 32, 38, 9], [5, 17, 19, 27, 28, 31], [1, 45, 42, 39, 50, 20, 35, 36, 3, 26], [37, 41, 40, 44, 15, 49, 30, 29, 21, 23, 48]]"
"[[13, 19, 12, 27, 28, 8, 11, 5], [7, 48, 22, 2, 16, 34, 39, 10, 9, 38], [46, 6, 31, 3, 29, 21, 30, 45, 33, 42, 40, 41], [49, 50, 1], [32, 26, 23, 24, 14, 25, 44, 15, 47], [43, 18, 4, 17, 37, 20, 36, 35]]"
"[[23, 16, 34, 30, 9, 27], [33, 32, 20, 35, 36, 22, 26, 7], [45, 19, 42, 25, 14, 24, 28, 8], [12, 15, 39, 29, 38, 49, 37, 17, 40, 13, 43, 6], [5, 21, 50, 2, 3, 31, 1, 48], [46, 47, 18, 4, 41, 44, 10, 11]]"
"[[32, 26, 31, 48, 23, 19, 17, 33, 30, 9, 38], [4, 41, 44, 15, 2, 3, 29, 5], [46, 14, 22, 20, 35, 50], [47, 6, 25, 13, 40, 42, 45, 49], [24, 43, 7, 21, 34, 16, 11, 27], [18, 37, 10, 39, 36, 28, 8, 1, 12]]"
"[[5, 38, 16, 49, 44, 40, 47, 7, 23], [37, 33, 45, 10, 32, 1, 3, 28, 6], [46, 11, 42, 4, 25, 43, 8, 26, 27], [22, 29, 21, 34, 48, 14, 13, 12], [50, 30, 2, 20, 35, 36, 31, 24, 41], [39, 9, 15, 17, 19, 18]]"
"[[2, 30, 9, 21, 35, 36, 28, 24, 48], [18, 44, 39, 34, 3, 20, 22, 43], [17, 41, 11, 32, 8], [4, 42, 19, 13, 14, 25, 47, 12], [6, 23, 1, 37, 15, 45, 5, 38, 16, 29, 27], [40, 33, 10, 49, 50, 31, 26, 7, 46]]"
"[[48, 13, 40, 33, 5, 34, 22], [18, 1, 32], [12, 28, 35, 36, 21, 50, 9, 30, 27], [17, 42, 45, 47, 7, 8, 26, 2, 16, 38], [14, 6, 41, 4, 44, 39, 29, 20, 3, 46], [11, 31, 23, 43, 24, 25, 19, 15, 37, 10, 49]]"
"[[32, 2, 8], [47, 6, 24, 22, 16, 10, 37, 44, 42, 41, 19], [17, 25, 43, 23, 48, 20, 3], [49, 4, 40, 13, 18, 14, 7, 31], [46, 11, 38, 15, 45, 30, 39, 29, 21, 36, 35, 28, 26], [27, 1, 50, 34, 9, 33, 5, 12]]"
"[[24, 7, 25, 18, 47, 11, 9], [23, 43, 22, 31, 29, 21, 34, 50, 30, 45, 15, 37, 17], [46, 39, 38, 16, 20, 35, 28, 26, 14, 27, 1], [12, 4, 42, 33, 5, 49], [6, 48, 8, 3, 36, 32, 10, 44, 40, 19], [13, 41, 2]]"
"[[32, 3, 22, 43, 14, 18, 13, 1], [5, 39, 33, 41, 20, 28, 31], [27, 48, 8, 26, 29, 11, 46, 47, 12], [23, 24, 25, 17, 37, 45, 10, 34, 2], [4, 42, 44, 6, 9, 16, 50, 21, 35, 36, 7], [40, 19, 15, 30, 49, 38]]"
