ruta_final
"[[18, 4, 41, 17, 37, 47], [6, 24, 43, 7, 26, 23, 48], [1, 22, 3, 35, 36, 28, 31, 8], [46, 27, 32, 11, 2, 20, 50, 34, 21, 29], [12, 5, 38, 16, 9, 49, 39, 10, 30], [33, 45, 15, 44, 19, 40, 42, 13, 25, 14]]"
"[[12, 9, 34, 50, 21, 16, 11], [46, 5, 38, 1, 48, 23, 7, 26, 28, 31, 8], [32, 2, 29, 20, 36, 3, 35, 22, 27], [37, 17, 15, 33, 44, 45, 39, 10, 30, 49], [4, 14, 18, 47], [6, 43, 24, 25, 13, 41, 40, 19, 42]]"
"[[27], [12, 5, 15, 37, 8, 28, 31, 26, 48], [24, 43, 7, 23, 18, 4, 47], [49, 10, 39, 33, 45, 44, 17], [16, 29, 21, 50, 34, 30, 9, 38, 11], [32, 2, 20, 35, 36, 3, 22], [46, 1, 6, 14, 25, 13, 41, 40, 19, 42]]"
"[[7, 43, 24, 23], [46, 11, 29, 16, 49, 45, 33, 15, 44, 37], [9, 34, 30, 10, 39, 21, 50, 38, 5, 12], [6, 14, 25, 13, 41, 40, 42, 19, 4, 17], [47, 18, 27, 22, 20, 35, 36], [32, 1, 2, 3, 28, 31, 8, 26, 48]]"
"[[27, 8, 26, 31, 28, 3, 20, 22], [18, 4, 19, 41, 40, 42, 44, 17], [47, 37, 15, 33, 45, 49], [14, 13, 25, 43, 23, 24, 7, 48, 6], [12, 5, 38, 50, 34, 9, 11, 46], [10, 39, 30, 21, 36, 35, 29, 16, 2, 1, 32]]"
"[[27, 32, 48, 43, 7, 23, 24, 6], [11, 2, 1, 22, 3, 36, 28, 31, 26, 8], [16, 29, 20, 35, 21, 50, 9, 49, 5, 46], [37, 44, 17, 42, 40, 25, 14, 18], [12, 47, 13, 41, 19, 4], [38, 34, 30, 10, 39, 33, 45, 15]]"
"[[18, 13, 25, 14, 47], [1, 32, 22, 28, 3, 36, 35, 20, 2, 11], [46, 27, 6, 8, 31, 26, 43, 23, 48, 24, 7], [5, 38, 16, 29, 21, 50, 9], [49, 10, 34, 30, 39, 33, 45, 15, 37], [4, 42, 19, 41, 40, 44, 17, 12]]"
"[[5, 42, 41, 19, 40, 13], [12, 14, 25, 18, 17, 4, 47], [1, 3, 20, 2, 22, 28, 31, 26], [27, 8, 36, 35, 29, 21, 34, 16, 11, 32], [48, 23, 7, 43, 24, 6, 46], [37, 15, 44, 45, 49, 30, 50, 9, 10, 39, 33, 38]]"
"[[1, 22, 31, 26, 8, 48, 27, 46], [5, 38, 11], [6, 7, 23, 43, 24, 25, 14], [32, 3, 28, 20, 36, 35, 29, 2], [50, 34, 16, 21, 49, 45, 33, 10, 39, 30, 9], [47, 4, 18, 13, 41, 42, 19, 40], [12, 15, 44, 17, 37]]"
"[[46, 11, 38, 10, 33, 45, 49, 5], [2, 16, 29, 34, 39, 30, 9, 21, 50, 32], [27, 18, 13, 41, 40, 19, 4, 47], [12, 15, 44, 42, 37, 17], [6, 14, 25, 24, 43, 7, 23, 48, 1], [22, 3, 20, 35, 36, 28, 31, 26, 8]]"
"[[37, 15, 30, 34, 9], [12, 17, 44, 42, 41, 40, 19, 13], [38, 16, 50, 21, 29, 20, 3, 22, 1, 32, 11], [27, 48, 8, 6, 14, 25, 18], [46, 5, 49, 39, 10, 33, 45, 4, 47], [2, 35, 36, 28, 31, 26, 23, 24, 43, 7]]"
"[[48, 26, 8, 7, 43, 24, 23, 6, 46], [1, 31, 28, 22, 16, 39, 33, 45, 15, 37, 17, 47], [4, 13, 40, 19, 41, 42, 44, 12], [18, 25, 14, 27, 32, 11, 5], [38, 9, 50, 34, 30, 10, 49], [2, 21, 29, 35, 36, 3, 20]]"
"[[12, 42, 40, 19, 41, 13, 24, 23, 6], [5, 9, 49, 10, 45, 33, 39, 38], [22, 36, 35, 2, 11, 1, 8, 26, 32], [18, 14, 25, 43, 7, 48, 27, 46], [16, 50, 30, 34, 21, 29, 20, 3, 28, 31], [47, 4, 17, 37, 44, 15]]"
"[[1, 22, 16, 29, 35, 36, 20, 2], [46, 18, 14, 25, 47, 12], [23, 7, 43, 24, 6, 48, 27, 32], [17, 37, 10, 39, 30, 9, 38, 5, 49, 11], [4, 13, 41, 40, 19, 42, 44], [8, 26, 31, 28, 3, 21, 50, 34, 33, 45, 15]]"
"[[49, 10, 30, 9, 39, 33, 45, 15, 5], [2, 29, 21, 34, 50, 16, 38, 11, 32], [47, 4, 17, 6, 48, 26, 7, 43, 24, 23], [27, 1, 35, 20, 36, 3, 22, 28, 31, 8], [18, 14, 25], [40, 19, 41, 13, 42, 44, 37, 12, 46]]"
