permutacion_inicial,ruta_final
"[38, 23, 26, 32, 18, 36, 3, 24, 7, 35, 9, 11, 34, 22, 31, 17, 29, 12, 45, 1, 13, 2, 5, 27, 37, 28, 25, 6, 42, 16, 49, 47, 15, 40, 20, 41, 14, 10, 46, 43, 19, 39, 33, 8, 48, 44, 21, 50, 30, 4]","[[31, 8, 26, 7, 23], [36, 3, 28, 20, 35, 16, 11, 2, 22, 1], [17, 44, 42, 4, 18, 6, 48, 27, 32], [43, 24, 25, 14, 12, 5, 49, 10, 37, 46], [13, 41, 40, 19, 47], [15, 45, 39, 33, 30, 34, 29, 21, 50, 9, 38]]"
"[38, 12, 21, 44, 43, 23, 22, 29, 1, 33, 3, 48, 34, 35, 13, 28, 5, 25, 11, 46, 10, 32, 8, 18, 9, 27, 15, 31, 41, 50, 16, 4, 2, 47, 17, 19, 39, 49, 40, 30, 45, 24, 36, 14, 37, 6, 26, 42, 7, 20]","[[46, 12, 47, 18], [1, 31, 22, 29, 36, 28, 3, 20, 2, 35], [45, 33, 39, 49], [11, 32, 27, 25, 19, 41, 40, 13], [4, 42, 44, 50, 16, 21, 34], [37, 17, 15, 5, 38, 9, 30, 10, 24, 43, 14, 6], [8, 26, 23, 7, 48]]"
"[50, 14, 33, 11, 30, 31, 36, 1, 10, 29, 46, 35, 12, 9, 15, 41, 20, 17, 47, 3, 23, 8, 34, 5, 38, 43, 24, 28, 32, 16, 45, 2, 27, 4, 48, 13, 18, 37, 39, 40, 19, 49, 42, 7, 26, 44, 25, 6, 21, 22]","[[38, 49, 9, 34, 16, 35, 36, 21, 50, 29, 11], [30, 39, 10, 33, 41, 19, 40, 13], [31, 28, 22, 1, 5, 12], [47, 24, 43, 26, 3, 20, 2, 32], [4, 14, 25, 18, 37, 15, 17, 42, 44, 45], [48, 8, 7, 23, 6, 27, 46]]"
"[28, 29, 11, 19, 48, 24, 4, 27, 35, 40, 36, 39, 12, 8, 47, 5, 34, 2, 45, 21, 22, 38, 46, 20, 31, 43, 41, 25, 23, 30, 7, 26, 49, 17, 44, 15, 16, 18, 50, 37, 6, 33, 1, 14, 32, 3, 42, 13, 10, 9]","[[20, 29, 2, 1, 22, 31, 28, 36, 35, 3], [10, 39, 30, 38], [46, 5, 49, 9, 50, 21, 34, 16, 11], [8, 26, 43, 24, 25, 14], [48, 7, 23, 6, 17, 44, 15, 37], [18, 13, 4, 47], [27, 32, 41, 19, 40, 42, 45, 33, 12]]"
"[5, 49, 42, 35, 12, 4, 29, 32, 3, 38, 27, 25, 8, 20, 46, 39, 33, 43, 10, 31, 2, 47, 9, 26, 16, 34, 36, 45, 19, 17, 21, 7, 23, 22, 13, 15, 30, 24, 44, 37, 1, 18, 14, 41, 40, 6, 28, 48, 11, 50]","[[5, 49, 36, 35, 2, 16, 38, 11, 22, 1], [31, 28, 3, 20, 29, 39, 33, 10], [48, 8, 26, 27], [9, 21, 50, 34, 30, 17, 4, 43, 24, 7, 23, 6], [14, 25, 15, 45, 44, 37, 12], [18, 13, 41, 40, 19, 42, 47], [32, 46]]"
"[27, 38, 50, 44, 3, 15, 13, 49, 32, 11, 16, 30, 25, 37, 18, 46, 40, 17, 42, 28, 48, 6, 35, 41, 33, 4, 2, 39, 31, 43, 8, 1, 45, 23, 19, 24, 7, 20, 5, 22, 47, 10, 34, 12, 9, 14, 29, 36, 26, 21]","[[12, 37, 44, 5], [15, 45, 33, 49, 34, 30, 39, 10], [4, 42, 41, 19, 40, 17, 47], [27, 48, 6, 14, 25, 13, 18], [35, 36, 3, 28, 22, 1, 32], [23, 43, 24, 7, 26, 31, 8], [46, 11, 38, 50, 9, 2, 20, 29, 16, 21]]"
"[17, 10, 12, 30, 2, 21, 20, 9, 14, 43, 46, 37, 27, 1, 44, 33, 41, 7, 28, 13, 24, 4, 25, 49, 39, 50, 16, 45, 40, 29, 15, 18, 32, 6, 48, 5, 22, 8, 34, 31, 19, 26, 11, 38, 3, 42, 23, 47, 36, 35]","[[5, 9, 34, 50, 38, 21, 29, 16], [47, 4, 17, 12], [37, 15, 44, 40, 41, 13, 25], [23, 24, 43, 14], [49, 39, 30, 10, 45, 33, 42, 19, 18], [27, 6, 48, 1, 22, 8, 26, 7], [46, 32, 11, 2, 3, 20, 31, 28, 36, 35]]"
"[16, 50, 33, 8, 43, 37, 15, 6, 25, 41, 39, 49, 28, 40, 20, 29, 48, 26, 7, 22, 21, 30, 9, 36, 1, 38, 27, 2, 45, 10, 18, 13, 31, 46, 34, 14, 5, 35, 19, 3, 4, 32, 24, 23, 47, 17, 42, 44, 11, 12]","[[16, 29, 3, 8, 22, 11, 46], [47, 12, 10, 39, 49, 5], [40, 19, 14, 48, 26, 31, 28, 50, 30, 9, 32, 1, 27], [15, 33, 45, 41, 25, 13, 4], [38, 34, 21, 36, 35, 20, 2], [7, 43, 24, 23, 6, 17, 42, 44, 37, 18]]"
"[16, 25, 28, 22, 18, 44, 15, 10, 33, 23, 31, 40, 24, 1, 26, 42, 19, 35, 50, 27, 11, 34, 21, 47, 12, 37, 36, 4, 30, 39, 29, 43, 45, 2, 32, 3, 41, 17, 48, 13, 6, 20, 9, 5, 14, 46, 38, 8, 7, 49]","[[1, 31, 28, 22, 17, 44, 15, 45, 33], [43, 25, 41, 13, 24, 6], [12, 37, 5, 49, 34, 30, 10, 39], [47, 4, 18, 14], [11, 50, 21, 29, 35, 36, 20, 3, 42, 40, 19], [46, 27, 32, 2, 16, 9, 38], [48, 26, 8, 7, 23]]"
"[21, 10, 20, 23, 17, 4, 44, 40, 2, 5, 41, 7, 8, 16, 34, 14, 12, 30, 37, 15, 24, 45, 38, 36, 32, 29, 27, 46, 43, 11, 19, 33, 47, 35, 6, 13, 18, 49, 48, 42, 50, 39, 26, 22, 25, 28, 1, 9, 31, 3]","[[34, 30, 39, 33, 45, 15, 44, 40, 42, 19], [27, 48, 8, 1, 32], [46, 5, 49, 10, 37, 12], [11, 38, 9, 16, 26, 7, 23, 43, 24, 17, 4, 47], [25, 41, 13, 18, 14, 6], [2, 29, 20, 50, 21, 35, 28, 22, 36, 31, 3]]"
