ruta_final
"[[40, 50, 18, 55, 72, 54, 15, 71, 36, 47], [32, 63, 33, 61, 67], [68, 48, 20, 19, 10, 25, 26], [38, 66, 59, 53], [3, 23, 64, 69, 29, 13, 11], [8, 27, 4, 62, 73, 9, 12], [58, 46, 52, 37, 70, 42, 41, 6], [34, 35, 57, 30, 22, 1, 43, 49, 44], [17, 2, 21, 60, 75], [7, 65, 39, 24, 56, 16, 74], [31, 14, 45, 5, 28, 51]]"
"[[3, 66, 54, 13, 52], [50, 18, 49, 62, 60, 19, 59, 58], [39, 44, 6, 47, 48, 34, 46], [40, 56, 2, 4, 75], [53, 45, 37, 70, 36, 61, 68], [38, 32, 16, 30, 69, 57, 29], [12, 33], [67, 31, 55, 17, 73, 1, 42, 22, 71], [63, 51, 10, 14, 35, 8, 26], [5, 28, 64, 41, 43], [24, 21, 20, 15, 27], [7, 11, 65, 72, 9, 25, 23, 74]]"
"[[16, 9, 31, 12], [1, 64, 18], [29, 5, 36, 28, 22, 23], [73, 42, 44, 50, 32, 40], [17, 51, 49, 33, 69, 71, 15, 52, 11], [27, 19], [55, 72, 65, 53, 14, 54, 57, 13, 34], [75, 68, 2, 7], [26, 58, 24, 60, 8, 46], [4, 74, 61, 41], [38, 66, 35, 67], [6, 30, 62, 43, 56, 3, 25], [21, 47, 37, 70, 20, 59, 39], [10, 63, 48, 45]]"
"[[33, 27, 67], [51, 6, 21, 57, 52, 35, 66], [34, 7, 59, 31, 25, 41], [16, 38, 11, 14, 53], [28, 2, 10], [3, 63, 1, 73, 74, 61, 71, 47, 5, 15, 29], [8, 20, 37, 36, 22, 49, 32, 9, 72], [17, 12, 40, 55, 42, 60, 70], [26, 65, 58, 24, 56, 4], [13, 45, 48, 69, 62], [54, 39, 50, 18, 23, 43, 68, 75], [44, 64, 30, 19, 46]]"
"[[16, 56, 41, 43], [17, 72, 49, 23, 62, 57, 52, 67], [4, 19, 14, 38], [35, 30, 60, 21, 6, 75], [7, 66, 27, 45, 64], [26, 9, 65, 54, 13, 47], [68, 74, 18, 55, 25, 32, 40], [36, 71, 28, 51, 12, 58], [46, 8, 39, 50], [34, 15, 11, 10, 31], [3, 24, 33, 73], [53, 59, 69, 61, 2, 1, 44], [63, 42, 22, 48, 5, 37, 70, 20, 29]]"
"[[16, 22, 61], [28, 70, 57, 54, 19, 11, 35], [51, 3, 32, 39, 10, 12], [14, 67], [69, 21, 73, 33, 18, 40], [45, 48, 60, 13, 59, 8], [1, 43, 41, 62, 36, 5, 34, 26], [75, 47, 52, 53, 25, 55, 23, 63], [46, 30, 74, 64], [27, 68, 24, 44, 9, 72, 58], [65, 29, 15, 37, 71, 42, 56, 49, 6], [4, 20, 7, 38, 31], [2, 17, 50, 66]]"
"[[40], [75, 62, 28, 64, 1, 3], [32, 24, 55, 25, 59, 53], [6, 16, 2, 74, 47, 71, 46], [7, 35, 65, 38, 10, 72, 39, 44, 42], [17, 56, 41, 69, 37, 13, 54, 27, 68], [58, 67, 4, 20, 70, 36, 63], [5, 15, 8, 11, 9], [34, 66, 57, 45, 21, 61, 73], [26, 31, 50, 18, 33, 51], [12, 14, 19], [52, 29, 60, 48, 30, 22, 43, 23, 49]]"
"[[21, 62, 1, 43, 23, 17], [45, 52, 13, 19, 35, 12, 49, 33], [67, 27, 71, 59, 7, 25, 6], [54, 30, 28, 22, 3, 51], [5, 15, 57, 26, 50], [9, 41, 42, 64, 73, 2, 48], [44, 40, 58, 4], [37, 20, 46, 14, 66], [39, 10, 65, 31, 55, 18, 63, 47, 29], [32, 24, 56, 74], [16, 72, 11, 53, 8, 34], [75, 68, 61, 69, 36, 60, 70, 38]]"
"[[6, 60, 67, 26], [27, 8, 38, 10, 63, 41, 1], [57, 20, 70, 69, 33, 51, 3, 32], [50, 31, 58, 7, 46, 15, 5], [43, 42, 62, 21, 54, 4], [68, 45, 34, 65, 39], [72, 66, 11, 53, 19, 71], [74, 23, 56, 24, 40, 12, 35], [73, 22, 61, 36, 52, 59, 9, 44], [48, 30, 17, 18, 25], [75, 29, 28, 64, 49, 16], [2, 47, 37, 13, 14, 55]]"
"[[26, 7, 53, 19, 8, 60, 69, 74, 49], [64, 16, 3, 32, 50, 55, 58], [73, 61, 48, 15, 27, 13, 14, 46], [59, 66, 24], [54, 4, 62, 63, 9, 39], [67, 5], [40, 28, 36, 71, 52], [12, 72, 10, 38, 11, 35, 29], [1, 70, 20, 75], [2, 22, 42, 43, 23, 25, 65, 17], [51, 41, 47, 37, 30, 68], [34, 57, 45], [6, 33, 56, 18, 31, 44], [21]]"
"[[30, 22, 43, 3, 40], [26, 53, 12, 24, 41], [9, 58, 66, 35, 60, 48, 74], [38, 31, 18, 16, 63, 2], [37, 47, 61, 56, 23, 50, 65, 46], [7, 59, 27], [73, 42, 28, 69, 36, 71, 70, 20, 4], [21, 1, 10], [67, 11, 14, 19, 15, 6], [72, 52, 54, 57, 29, 45, 62, 75], [25, 32, 44, 5, 13, 8, 34], [17, 39, 55, 49, 64, 33, 51, 68]]"
"[[58, 9, 51, 2], [16, 34, 67], [50, 14, 59, 13, 60, 29], [6, 69, 27, 11, 31, 3, 12], [65, 72, 25, 32, 63], [75, 61, 5, 52, 35, 53, 10], [38, 39, 55, 18, 24, 1, 71, 4], [57, 15, 20, 37, 74, 64, 56, 68], [17, 40, 43, 28], [73, 21, 36, 48, 46, 66], [30, 62, 41, 23, 26, 7, 19, 8], [45, 54, 70, 47, 22, 42, 33, 49, 44]]"
"[[29, 69, 61, 22, 1, 73, 33, 44, 18, 55], [12, 67, 4, 21, 62], [17, 38, 59], [3, 56, 43, 42, 64, 28], [37, 7, 58, 10, 72, 40], [5, 2], [16, 41, 30, 57, 13, 52], [24, 25, 31, 53, 26], [11, 15, 70, 36, 48, 68, 51], [49, 75, 27, 34], [50, 63, 74, 47, 71, 20, 54, 35, 46], [65, 66, 14, 19, 45, 23, 6], [60, 8, 39, 9, 32]]"
"[[9, 56, 41, 30, 52], [29, 15, 57, 46, 7], [48, 69, 21, 68, 6, 72], [17, 51, 42, 50, 55, 11, 53], [66, 65, 38, 44, 63, 1, 45], [8, 59, 40, 16], [19, 54, 27, 4, 62], [75, 73, 28, 74, 37, 14, 58], [32, 49, 18, 25, 31, 26, 67], [2, 47, 60, 64, 23, 24, 12], [34, 13, 5, 20, 70, 71, 36, 61, 43], [22, 33, 3, 39, 10, 35]]"
"[[45, 20, 57], [75, 62, 29, 53, 9, 50], [68, 33, 1, 5], [46, 35, 19, 59, 10, 31, 72], [39, 18, 49, 23, 43, 73, 61, 71, 74, 30], [16, 65, 66, 11, 14], [55, 41, 28], [38, 44, 24, 56], [2, 21], [67, 7, 34, 4], [32, 63, 64, 22, 60, 70, 54, 52], [26, 58, 3, 51, 6, 42, 69, 15], [48, 47, 36, 37, 8, 40, 17], [27, 13, 12, 25]]"
"[[44, 9, 31, 10, 54, 15, 8], [13, 70, 37, 29, 56, 18], [67, 35, 53, 24], [39, 46, 34, 4, 47, 69, 74], [6, 45, 60, 27, 52, 14], [62, 33, 23, 43, 64, 61, 5], [58, 38, 55, 3, 16, 63], [26, 11, 65, 72, 40, 50, 42, 73], [32, 12, 7, 19], [75, 2, 28, 41, 51, 17], [57, 71, 36, 21, 48, 30, 68], [20, 22, 1, 49, 25, 66, 59]]"
"[[17, 43, 74, 27, 34, 66], [33, 22, 42, 41, 23, 18, 55, 25, 72, 65], [14, 31, 44, 63, 1, 61, 36, 68], [48, 5, 54, 59, 46, 67], [51, 3, 50, 53, 8, 13, 60, 69, 30], [58, 7, 29, 28], [2, 47, 21, 62, 49, 10, 19], [52, 57, 20, 70, 71, 45, 4], [11, 38], [75, 64, 37, 35, 9, 12, 26], [16, 24, 32, 40], [15, 73, 56, 6, 39]]"
"[[27, 69, 21, 74, 73, 16, 50, 65], [17, 51, 62, 22, 28, 29, 45], [46, 11, 59, 54, 61, 43], [6, 52, 66], [75, 35, 13, 71, 42, 1, 25, 9, 12], [32, 58, 7, 34, 70, 60, 36, 48], [4, 57, 30, 2, 33, 68], [14], [40, 63, 41, 47, 5, 15, 19, 8], [37, 67, 26, 10, 72, 18, 24], [3, 44, 55, 49, 23, 56, 64, 20], [53, 38, 31, 39]]"
"[[1, 25], [67, 20, 36, 47, 74, 49, 16], [29, 5, 19, 66, 26], [17, 51, 61, 45, 59, 14], [33, 42, 50, 10, 65], [15, 70, 69, 21, 64, 41, 12], [44, 24, 62, 22, 60, 57, 13, 35, 7], [43, 18, 9, 8, 4], [75, 68, 48, 63, 56, 3, 32], [30, 23, 55, 31, 46, 52], [34, 27, 54, 11, 38, 58], [39, 72, 53, 37, 71, 28, 2, 6], [40, 73]]"
