ruta_final
"[[75], [26, 38, 66, 59, 53, 7], [4, 45, 29, 5, 48, 30, 68], [12, 72, 65, 11, 35, 8, 46, 34], [51, 3, 24, 18, 50, 9, 39], [73, 22, 64, 42, 1, 33], [17, 32, 40], [67, 58, 10, 31, 55, 25, 44], [27, 57, 20, 70, 60, 71, 69, 61, 74, 2], [62, 28, 21, 47, 36, 37, 15], [14, 19, 54, 13, 52], [16, 49, 23, 56, 41, 43, 63, 6]]"
"[[23, 56, 41, 42, 43, 1, 33], [10, 38, 11, 53, 35, 7], [62, 61, 28, 2], [19, 14, 59, 66, 65], [22, 64, 73, 6], [67, 46, 34, 29, 45, 4], [51, 16, 3, 44, 40, 17], [47, 36, 37, 20, 15, 57, 27, 52], [68, 74, 21, 69, 71, 60, 70], [9, 32, 50, 18, 24, 49, 63], [8, 54, 13, 5, 48, 30], [26, 58, 72, 31, 55, 25, 39, 12, 75]]"
"[[17, 50, 18, 24, 49, 51], [8, 19, 54, 13, 52], [3, 44, 32, 9, 39, 12], [74, 28, 61, 64, 42, 43], [46, 34, 4], [6, 33, 73, 1, 22, 62, 2], [67, 26], [27, 57, 15, 20, 70, 60, 71, 69, 21], [72, 10, 66, 59, 14, 35], [75, 30, 68], [40, 25, 55, 31, 58], [7, 53, 11, 65, 38], [45, 29, 5, 37, 36, 47, 48], [63, 41, 56, 23, 16]]"
"[[40, 32, 44, 3], [2, 28, 62, 73, 6], [66, 59, 14, 19, 46], [51, 49, 24], [58, 10, 38, 65, 31, 39, 72, 12], [20, 70, 60, 71, 36, 69, 21, 47, 75], [9, 25, 55, 18, 50, 17], [1, 42, 64, 22, 61, 74, 68], [33, 63, 43, 41, 56, 23, 16], [4, 30, 48, 29, 45, 67], [11, 53, 54, 57, 15, 37, 5], [34, 52, 27, 13, 8, 35, 7, 26]]"
"[[34, 46, 8, 67], [52, 27, 15, 5, 29, 45], [72, 31, 10, 58, 26, 48, 47, 74], [38, 65, 66, 11], [40, 32, 9, 39, 12], [35, 19, 59, 14, 53, 7], [51, 16, 3, 44, 17], [37, 71, 60, 70, 20, 57, 13, 54], [28, 61, 69, 36, 21], [50, 25, 55, 18, 24, 49, 56, 23], [33, 63, 73, 2, 30, 4], [62, 22, 64, 42, 41, 43, 1], [75, 68, 6]]"
"[[58, 10, 31, 24, 49, 16], [8, 19, 54, 13, 57, 15, 45], [17, 44, 3, 51, 6], [74, 28, 62, 2], [68, 75], [4, 27, 52, 34], [25, 55, 18, 50, 32], [7, 11, 66, 65, 38], [30, 48, 21, 69, 61, 64, 22, 73], [47, 36, 71, 60, 70, 20, 37, 5, 29], [12, 40, 9, 39, 72, 26], [46, 35, 14, 59, 53], [63, 23, 56, 41, 42, 43, 1, 33], [67]]"
"[[16, 49, 24, 18, 55, 25, 50, 32], [57, 15, 37, 69, 64, 42, 43, 1, 51], [54, 13, 27, 4, 75], [45, 29, 52, 8, 35, 53, 7], [17, 3, 44, 40, 12], [31, 10, 38, 11], [19, 14, 59, 66, 65], [6, 30, 74, 36, 71, 60, 70, 20, 5], [34, 46, 67], [26, 58, 72, 39, 9], [33, 73, 62, 61, 21, 47, 48], [63, 23, 56, 41, 22, 28, 2, 68]]"
"[[45, 37, 70, 20, 15, 57, 27, 52], [62, 22, 28, 2, 68], [75, 73, 1, 33, 6], [14, 59, 66, 11], [63, 23, 56, 41, 64, 42, 43], [17, 51, 61, 21, 74, 30, 4], [39, 9, 25, 55, 18, 50, 32], [48, 47, 36, 69, 71, 60, 5, 29], [58, 38, 65, 53, 19, 54, 13], [67, 34, 46, 8, 35, 7, 26], [40, 3, 44, 31, 10, 72, 12], [24, 49, 16]]"
"[[33, 1, 43, 41, 42, 64], [7, 53, 11, 59, 35, 67], [12, 39, 25, 55, 24, 49, 56, 23, 63], [45, 29, 15, 57, 13, 54, 19, 14], [58, 38, 65, 66], [3, 18, 50, 44], [34, 46, 8, 52, 27, 4], [26, 40, 16, 51, 6, 75], [5, 36, 69, 61, 21, 30, 68], [2, 74, 28, 22, 62, 73], [37, 20, 70, 60, 71, 47, 48], [72, 10, 31, 9, 32, 17]]"
"[[36, 69, 71, 60, 70, 20, 37], [7, 10, 31, 9, 39, 12], [30, 21, 61, 22, 64, 42, 73, 68], [75], [52, 19, 59, 14, 35, 8], [4, 15, 57, 54, 13, 27], [17, 3, 44, 50, 32, 40], [26, 58, 72, 25, 55, 18, 24, 49, 51], [45, 29, 5, 47, 48], [38, 65, 66, 11, 53], [23, 56, 41, 43, 1, 33], [2, 74, 28, 62, 63, 16, 6], [67, 46, 34]]"
"[[40, 18, 24, 49, 23, 56, 41, 63], [73, 1, 43, 42, 64, 22, 62, 2], [11, 66, 59, 14, 35], [75, 4, 34, 46, 67], [27, 5, 29, 45], [30, 48, 47, 21, 28, 74], [37, 20, 15, 57, 13, 52], [36, 70, 60, 71, 69, 61], [8, 54, 19, 53, 26], [17, 32, 50, 25, 55, 31, 72, 12], [68, 6, 33, 16, 3, 44, 51], [7, 65, 38, 10, 58, 39, 9]]"
"[[7, 65, 66, 59, 53, 35, 8], [51, 3, 32, 9, 39, 72, 26], [50, 18, 24, 49, 16], [17, 40, 12], [48, 47, 5, 29, 45, 4], [37, 15, 57, 13, 54], [30, 21, 36, 71, 60, 70, 20], [73, 1, 43, 41, 42, 64, 22, 61, 69], [58, 38, 10, 31, 55, 25, 44], [67, 34, 52, 27], [2, 28, 74, 75], [68, 62, 56, 23, 63, 33, 6], [11, 14, 19, 46]]"
"[[16, 23, 56, 41, 43, 42, 64, 22], [34, 46, 8, 67], [68, 6, 33, 1, 63, 51], [17, 44, 40, 12, 26], [35, 19, 54, 13, 52], [7, 53, 11, 38, 58], [30, 69, 71, 60, 70, 20, 5, 29], [32, 50, 25, 9, 39], [4, 45, 75], [72, 10, 31, 55, 18, 24, 49, 3], [2, 74, 21, 61, 28, 62, 73], [65, 66, 59, 14], [27, 57, 15, 37, 36, 47, 48]]"
"[[48, 21, 69, 61, 22, 64, 42], [30, 74, 28, 2], [4, 45, 15, 57, 54, 13, 27, 52], [75], [35, 14, 59, 19, 8, 34], [65, 66, 11, 53, 46], [26, 17, 51, 6, 68], [23, 56, 41, 43, 1, 73, 62], [39, 9, 25, 55, 50, 40], [16, 3, 32, 31, 10, 72], [33, 63, 49, 24, 18, 44], [67, 7, 38, 58, 12], [47, 36, 71, 60, 70, 20, 37, 5, 29]]"
"[[2, 62, 22, 64, 42, 73, 6], [51, 16, 3, 44], [58, 10, 72, 39, 40, 17], [35, 14, 59, 66, 11], [74, 21, 69, 61, 28], [29, 37, 20, 70, 60, 71, 36], [63, 23, 56, 41, 43, 1, 33], [48, 47, 5, 15, 57, 13, 67], [34, 27, 52, 46, 8, 7, 26], [75, 68], [4, 30, 45, 54, 19, 53], [12, 9, 25, 55, 31, 65, 38], [49, 24, 18, 50, 32]]"
"[[51, 16, 3, 44, 32, 40, 17], [4, 75], [22, 64, 42, 41, 43, 33], [6, 73, 1, 56, 23, 63], [20, 70, 60, 71, 36, 47, 21], [49, 24, 18, 50, 55, 25, 9], [52, 27, 45, 29, 5, 48, 30], [38, 65, 66, 59, 19, 8], [54, 13, 57, 15, 37, 69, 61, 28], [67, 26], [35, 14, 11, 53, 7], [58, 10, 31, 39, 72, 12], [68, 2, 62, 74, 34, 46]]"
"[[5, 37, 70, 20, 57, 54, 8], [26], [10, 31, 25, 55, 18, 50, 32], [53, 11, 66, 65, 38], [4, 2, 62, 22, 41, 56, 23], [51, 16, 24, 49, 63, 33, 73], [67, 46, 7], [30, 21, 69, 71, 60, 36, 47, 48], [3, 44, 9, 39, 12], [19, 59, 14, 35], [34, 52, 27, 13, 15, 29, 45], [75, 68, 6, 17, 40, 72, 58], [74, 28, 61, 64, 42, 43, 1]]"
"[[6, 73, 62, 22, 28, 48, 30], [1, 43, 41, 56, 23, 49, 24], [17, 3, 16, 63, 33, 51], [2, 74, 47, 36, 69, 71, 60, 70, 20, 37], [67, 46, 34], [58, 38, 65, 66, 7, 75, 68], [44, 18, 50, 32, 40], [29, 45, 4], [52, 27, 5, 21, 61, 64, 42], [26, 72, 10, 11, 53], [14, 59, 19, 54, 13, 57, 15], [12, 39, 9, 25, 55, 31, 35, 8]]"
"[[6, 2, 74, 48, 29, 30, 68], [11, 66, 65, 38, 10, 72], [16, 49, 24, 18, 55, 31, 58], [67, 7, 39, 9, 25, 50], [28, 22, 64, 42, 41, 43, 1], [8, 19, 59, 14, 53, 35], [63, 23, 56, 3, 44, 32, 40], [75, 47, 36, 71, 60, 70, 20, 5], [62, 73, 33, 51], [21, 61, 69, 37, 15, 57, 13, 54], [26, 12, 17], [34, 46, 52, 27, 45, 4]]"
"[[48, 47, 36, 37, 5], [67, 46, 8, 35, 7, 26], [38, 65, 66, 11], [1, 43, 42, 41, 56, 23, 63, 16], [75, 4], [58, 10, 31, 25, 55, 18, 50], [17, 3, 49, 24, 44, 32, 9], [40, 39, 72, 12], [51, 33, 62, 61, 69, 21, 74, 30], [71, 60, 70, 20, 15, 57, 13, 54], [34, 52, 27, 29, 45, 68, 6], [73, 64, 22, 28, 2], [19, 59, 14, 53]]"
"[[39, 55, 25, 9], [13, 57, 15, 20, 70, 60, 71, 37, 5, 75], [73, 62, 28, 21, 47, 30], [34, 46, 67], [26, 12, 40], [63, 23, 56, 41, 43, 1, 33], [42, 64, 22, 61, 69, 36, 27, 52], [53, 11, 38, 10, 58], [4, 45, 29, 48, 74, 2, 68], [7, 35, 19, 54, 8], [16, 49, 24, 18, 50, 32, 44], [17, 3, 51, 6], [14, 59, 66, 65, 31, 72]]"
"[[47, 36, 71, 60, 70, 20, 37], [45, 29, 5, 15, 57, 27], [6, 33, 1, 64, 61, 69, 48], [14, 59, 66, 65, 38], [30, 74, 21, 28, 22, 62, 68], [16, 23, 56, 41, 42, 43], [26, 17, 3, 24, 49, 63, 73, 2], [51, 44, 50, 18, 55, 25, 32], [8, 35, 19, 54, 13, 52], [40, 9, 31, 39], [12, 72, 58, 10, 11, 53, 7], [67, 46, 34, 4, 75]]"
"[[26, 17], [73, 42, 64, 22, 62, 2, 68], [9, 39, 31, 10, 72, 12], [5, 37, 20, 70, 60, 71], [3, 44, 50, 32, 40], [34, 52, 27, 4, 75], [63, 23, 56, 41, 43, 1], [29, 36, 69, 61, 28, 74], [30, 21, 47, 48], [46, 8, 35, 19, 54, 13, 57, 15, 45], [51, 6], [38, 65, 66, 59, 14, 7], [33, 16, 49, 24, 18, 55, 25], [67, 53, 11, 58]]"
"[[51, 63, 73, 28, 61, 69, 36, 47, 48], [7, 53, 11, 65, 38, 58], [39, 9, 32, 50, 18, 44, 3], [68, 2, 30, 15, 57, 4], [12, 72, 10, 31, 55, 25], [74, 21, 71, 60, 70, 20, 37, 5], [45, 29, 27, 13, 52, 34, 67], [26, 8, 35, 19, 54, 46], [66, 59, 14], [16, 49, 24, 23, 56, 41, 43], [75], [6, 33, 1, 42, 64, 22, 62], [40, 17]]"
"[[74, 21, 69, 70, 20, 57, 54, 19, 8], [1, 43, 41, 42, 64], [33, 63, 23, 56, 49, 16], [11, 66, 65, 38, 26], [37, 60, 71, 36, 47, 48], [17, 32, 9, 25, 55, 31, 39], [40, 72, 10, 58, 12], [44, 50, 18, 24, 3], [30, 2, 28, 61, 22, 62, 73], [27, 13, 15, 5, 29, 45], [75, 68, 4, 67], [51, 6, 52, 34], [7, 53, 59, 14, 35, 46]]"
"[[68, 75], [5, 37, 20, 70, 60, 71, 21], [32, 50, 18, 24, 49, 23], [10, 31, 55, 25, 16, 51], [19, 59, 66, 65, 38, 58], [17, 40], [27, 57, 15, 29, 45, 4], [67], [30, 48, 47, 36, 69, 61, 28, 74], [3, 44, 9, 39, 72, 12], [34, 46, 8, 35, 7, 26], [6, 33, 63, 1, 73, 2], [56, 41, 43, 42, 64, 22, 62], [52, 13, 54, 14, 11, 53]]"
