permutacion_inicial,ruta_final
"[6, 27, 16, 17, 9, 68, 46, 55, 11, 40, 66, 36, 45, 30, 62, 52, 51, 24, 33, 50, 67, 39, 61, 65, 70, 32, 44, 49, 20, 72, 71, 34, 7, 43, 26, 19, 31, 42, 28, 23, 13, 18, 59, 35, 53, 22, 2, 37, 56, 14, 69, 25, 1, 8, 21, 75, 73, 57, 58, 63, 47, 15, 5, 29, 48, 74, 41, 10, 12, 64, 38, 3, 4, 60, 54]","[[52, 27], [26, 72, 39, 9, 12], [18, 50, 32, 40], [4, 45, 30, 68, 75], [49, 24, 56, 23], [67, 46, 34], [17, 44, 3, 16, 69, 71, 60, 70, 20, 37], [51, 63, 41, 64, 42, 43, 1, 33], [19, 59, 14, 53], [6, 73, 62, 2], [10, 31, 55, 25], [54, 13, 57, 15, 5, 48], [74, 28, 22, 61, 21, 36, 47, 29], [58, 38, 65, 66, 11], [7, 35, 8]]"
"[64, 52, 19, 5, 10, 42, 6, 32, 8, 28, 15, 7, 50, 22, 35, 39, 48, 49, 56, 72, 61, 4, 36, 66, 3, 63, 41, 55, 40, 33, 37, 43, 59, 60, 18, 30, 20, 62, 68, 73, 21, 12, 75, 46, 51, 67, 27, 44, 11, 25, 74, 53, 69, 71, 13, 16, 29, 47, 31, 2, 1, 17, 23, 9, 38, 65, 54, 57, 24, 26, 14, 70, 45, 58, 34]","[[7, 35, 19, 8], [12, 72, 40, 17], [29, 48, 30, 44, 50, 18, 55, 25], [16, 49, 24, 3], [36, 69, 21, 28], [63, 23, 56, 41, 42, 43, 1, 33], [75, 4], [6, 73, 62, 22, 64, 61, 37, 20], [34, 46, 52, 27, 45], [38, 65, 11, 53, 57, 70, 60, 71], [68, 2, 74, 47, 5, 15], [51, 32, 9, 39, 31, 54, 13], [58, 10, 66, 59, 14], [26, 67]]"
"[3, 39, 42, 9, 32, 60, 51, 2, 74, 43, 26, 64, 49, 1, 66, 58, 36, 31, 34, 35, 8, 37, 44, 4, 73, 75, 69, 65, 10, 20, 53, 45, 15, 46, 19, 52, 5, 67, 25, 55, 48, 12, 16, 40, 30, 24, 70, 6, 56, 50, 11, 27, 38, 23, 62, 18, 59, 7, 14, 57, 28, 71, 17, 21, 72, 68, 54, 63, 33, 22, 41, 61, 13, 47, 29]","[[40, 9, 39, 72, 26], [74, 36, 71, 60, 70, 20], [23, 56, 41, 21, 37, 5], [46, 35, 14, 59, 53, 7], [8, 19, 54, 52], [58, 10, 65, 38], [45, 29, 15, 57, 13, 27], [32, 50, 18, 44], [17, 3, 24, 49, 16], [12, 25, 55, 31, 66, 11], [51, 33, 73, 6], [67, 34, 4, 30, 68, 75], [1, 22, 28, 62, 2], [63, 43, 42, 64, 61, 69, 47, 48]]"
"[51, 66, 74, 27, 3, 71, 72, 52, 41, 15, 47, 33, 64, 29, 67, 53, 30, 34, 19, 37, 62, 17, 25, 31, 40, 14, 55, 35, 46, 13, 32, 44, 68, 65, 26, 23, 7, 24, 16, 8, 42, 59, 21, 10, 60, 63, 45, 69, 20, 56, 6, 58, 48, 5, 57, 38, 49, 75, 12, 36, 28, 22, 73, 1, 70, 39, 18, 9, 2, 50, 4, 11, 61, 54, 43]","[[30, 36, 71, 69, 21, 74], [34, 45, 29, 48, 47, 61, 22, 6], [72, 10, 38, 11, 19, 54, 52], [18, 50, 9, 39], [7, 35, 8, 46, 67], [40, 44, 3], [63, 23, 56, 24, 49, 16], [64, 42, 41, 43, 1], [17, 12, 26, 20, 70, 60, 37], [27, 13, 57, 15, 5, 4, 75], [68, 2, 28, 62, 73, 33, 51], [32, 25, 55, 31, 58], [65, 66, 59, 14, 53]]"
"[47, 72, 59, 65, 74, 12, 60, 7, 37, 2, 24, 42, 19, 45, 35, 15, 70, 64, 23, 21, 30, 41, 27, 9, 63, 28, 16, 26, 38, 52, 56, 18, 55, 53, 48, 1, 20, 51, 31, 13, 46, 11, 39, 71, 58, 36, 67, 69, 5, 66, 32, 34, 10, 43, 49, 40, 75, 25, 62, 50, 61, 73, 14, 17, 54, 4, 8, 68, 29, 22, 57, 3, 33, 6, 44]","[[72, 10, 65, 66, 38, 58], [21, 69, 61, 22, 64, 42], [4, 75], [29, 20, 70, 60, 71, 36, 28, 62], [39, 9, 16, 33, 68], [67, 46, 34], [31, 55, 25, 32, 2, 74, 30], [27, 52, 35, 53, 11, 7], [26, 17], [48, 47, 37, 5, 59, 14], [49, 24, 18, 50, 40, 12], [73, 1, 43, 41, 56, 23, 63], [8, 19, 54, 13, 57, 15, 45], [6, 51, 3, 44]]"
"[9, 14, 31, 62, 65, 73, 33, 58, 51, 13, 39, 71, 45, 75, 67, 37, 4, 19, 68, 63, 18, 16, 6, 27, 72, 20, 49, 22, 11, 52, 60, 15, 17, 47, 43, 69, 53, 44, 3, 61, 28, 46, 12, 74, 66, 2, 34, 38, 59, 26, 41, 24, 30, 29, 42, 64, 35, 7, 55, 1, 21, 50, 70, 40, 54, 23, 25, 36, 32, 57, 56, 10, 5, 8, 48]","[[9, 39, 10, 58], [2, 73, 62, 74, 30, 45, 4], [7, 35, 53, 14, 19, 54, 8], [68, 6, 16, 49, 18, 55, 31, 72, 12, 26], [46, 52, 13, 57, 27], [36, 71, 69, 61, 28, 33, 3, 44], [17, 51, 75, 67], [38, 65, 66, 59, 11], [22, 64, 42, 43, 41, 56], [63, 1, 21, 47, 48, 29, 34], [40, 32, 25, 50, 24, 23], [15, 20, 70, 60, 37, 5]]"
"[46, 61, 58, 27, 42, 21, 51, 72, 25, 52, 8, 37, 10, 1, 32, 17, 55, 66, 57, 50, 41, 40, 5, 62, 30, 44, 24, 36, 71, 18, 74, 20, 69, 26, 22, 53, 70, 3, 38, 73, 33, 60, 29, 4, 35, 43, 45, 11, 34, 23, 16, 9, 7, 54, 13, 28, 19, 49, 65, 56, 12, 63, 64, 48, 68, 47, 31, 59, 2, 39, 75, 14, 15, 6, 67]","[[67, 26], [4, 27, 45, 68, 51, 18, 50], [35, 19, 54, 8], [39, 9, 25, 55, 31, 10], [12, 40, 17], [3, 44, 24, 49, 23, 48, 29], [30, 74, 21, 47, 5], [71, 60, 70, 20, 37], [1, 43, 22, 28, 62, 2], [75, 73, 33, 6], [63, 16, 32, 72, 58, 7, 46], [53, 11, 38], [56, 41, 42, 64, 61, 69, 36], [65, 66, 59, 14], [34, 52, 13, 57, 15]]"
"[54, 56, 35, 34, 38, 8, 24, 57, 66, 44, 59, 36, 29, 13, 61, 26, 30, 65, 73, 2, 39, 15, 47, 53, 33, 41, 17, 60, 1, 7, 5, 3, 72, 11, 12, 28, 48, 52, 40, 75, 32, 71, 19, 18, 67, 68, 43, 37, 4, 51, 23, 46, 6, 49, 69, 55, 64, 42, 27, 20, 14, 45, 58, 50, 22, 25, 74, 16, 9, 31, 70, 21, 63, 62, 10]","[[52, 13, 54, 19, 35, 7], [58, 31, 39, 9], [53, 59, 14, 8, 46, 34], [33, 73, 62, 28, 47, 37, 15, 57], [23, 56, 41, 43, 1], [72, 10, 38, 65, 66, 11], [30, 29, 45, 27], [51, 16, 63, 49, 24, 3], [67, 4, 68, 2, 6, 75], [71, 60, 70, 20], [42, 64, 22, 61, 69, 36, 5], [50, 18, 55, 25], [17, 44, 32, 40], [74, 21, 48, 26, 12]]"
"[28, 52, 12, 10, 41, 1, 16, 66, 3, 18, 2, 68, 5, 23, 22, 39, 59, 44, 73, 47, 29, 35, 46, 13, 49, 8, 70, 64, 19, 69, 38, 37, 75, 58, 71, 62, 65, 61, 43, 40, 30, 20, 48, 31, 53, 11, 14, 57, 25, 17, 72, 26, 27, 42, 21, 67, 32, 56, 63, 24, 50, 7, 6, 54, 55, 45, 51, 33, 36, 74, 9, 34, 15, 60, 4]","[[34, 67], [72, 31, 39, 9, 40], [17, 51, 33, 73, 74, 47, 5, 48], [66, 11], [75, 68, 30, 29, 13, 54, 8, 46], [28, 22, 61, 21, 69, 71, 60, 36], [38, 65, 10], [2, 62, 64, 42, 41, 43, 1], [35, 19, 59, 14, 53], [26, 12, 58, 7, 52, 20, 70, 37], [23, 56, 49, 24, 44, 3], [32, 25, 55, 18, 50, 16, 63, 6], [27, 57, 15, 45, 4]]"
"[34, 54, 32, 66, 52, 16, 18, 38, 6, 46, 68, 72, 20, 67, 31, 61, 62, 60, 23, 58, 36, 37, 47, 64, 71, 17, 43, 19, 41, 59, 35, 2, 73, 57, 1, 11, 63, 50, 28, 7, 49, 24, 33, 39, 8, 26, 75, 30, 40, 9, 27, 44, 4, 10, 29, 5, 69, 14, 13, 53, 48, 3, 45, 21, 51, 74, 65, 70, 22, 56, 55, 15, 42, 12, 25]","[[14, 59, 66, 65, 11], [9, 25, 55, 31], [30, 48, 47, 5, 29, 4], [64, 42, 41, 43, 1], [37, 20, 70, 60, 71, 36, 69, 21], [19, 54, 13, 28, 62, 73, 2], [75, 6, 33, 63], [32, 50, 18, 24, 49, 16, 51], [26, 12, 72, 39, 40], [38, 10, 58], [45, 27, 52, 34, 8, 35, 53, 7], [68, 74, 61, 22, 56, 23, 3, 44, 17], [15, 57, 46, 67]]"
