ruta_final
"[[34, 65, 55, 1, 22, 60, 27, 4], [10, 53, 54, 5, 47, 73, 63, 23, 49], [21, 37, 20, 46, 58, 72, 24], [26, 40, 25, 44, 42, 43, 36, 29], [35, 11, 66, 19, 57, 62], [59, 32, 50, 18, 3], [67, 7, 45, 68, 51, 75], [52, 15, 61, 6, 12, 31, 38], [39, 9, 14, 13, 69, 30, 17], [71, 28, 41, 64, 33, 2], [56, 16, 74, 48, 70, 8]]"
"[[30, 68, 71, 70, 20, 13, 52, 14], [2, 47, 56, 55, 18, 9, 72, 12], [11, 59, 5, 37, 4, 51], [50], [36, 21, 61, 64, 63, 32, 25], [34, 75, 29, 15, 22, 73, 24, 23], [38, 8], [40, 58, 10, 65, 54, 27], [62, 69, 48, 35, 53, 7, 45], [43, 16, 44, 3, 31, 46], [67], [6, 28, 42, 1, 49, 17, 66], [26, 39, 33, 41, 74, 60, 57, 19]]"
"[[16, 63, 62, 37, 14, 31, 50], [68, 1, 33, 60, 8, 4, 75], [24, 49, 73, 22, 2, 74, 69, 27, 52], [17, 10, 9, 32, 18], [29, 42, 36, 20, 13, 19, 53, 12], [70, 7, 72, 39, 25, 40, 44, 67], [51, 23, 43, 47, 61, 54, 46, 35], [38, 66, 11, 59, 57], [3, 28], [55, 58, 65, 15, 71, 5, 48, 30], [34, 41, 56, 64, 21, 6], [26, 45]]"
"[[58, 19, 4, 74, 2], [17, 22, 56, 41, 49, 32], [38, 35, 45, 57, 37, 70, 28], [67, 29, 36, 6, 16, 9, 44], [13, 20, 54, 59, 53], [3, 62, 48, 30], [64, 69, 7, 14, 8, 34], [75, 24, 21, 5, 15], [12, 10, 66], [61, 43, 33, 39, 40], [68, 51, 72, 25, 63, 1, 60, 46, 27], [26, 52, 47, 71, 42, 23, 73], [65, 11, 31, 55, 18, 50]]"
"[[17, 47, 71, 69, 27], [16, 74, 61, 13, 14, 39, 55, 50], [58, 31, 65, 38], [2, 44, 10, 35, 53], [4, 34, 67], [23, 42, 73, 48, 5, 60, 70, 57, 54, 51], [59, 28, 62, 22, 64, 56], [20, 15, 43, 24], [66, 72, 40, 32, 3, 6], [46, 7, 18, 25, 1], [75, 41, 30, 29, 19, 52, 9], [68, 49, 45, 8, 26], [37, 36, 21, 63, 33], [11, 12]]"
"[[39, 50, 58, 14], [72, 10, 44, 24, 63, 42, 36, 17], [15, 19, 11, 38, 49, 3], [27, 8, 25, 32, 16, 73, 75], [34, 13, 48, 21, 74], [46, 47, 23, 33, 55, 31, 9], [37, 22, 64, 41, 56], [66, 59, 54, 35], [28, 4], [1, 69, 29, 52, 65, 53, 67], [40, 18, 43], [30, 57, 5, 20, 70, 60, 61], [51, 6, 2, 71], [12, 26, 7, 45, 62, 68]]"
"[[45, 15, 61, 43, 63, 23, 68], [30, 29, 20, 19, 4, 24], [26], [48, 5, 37, 47, 21, 64, 73], [57, 36, 71, 22, 1, 31, 17], [75, 69, 7, 59, 9, 50, 25], [8, 13, 70, 51, 18, 32, 39, 10], [2, 27, 46, 35, 72, 67], [74, 56, 3, 16, 6], [58, 65, 66, 55], [62, 28, 42, 41, 33], [34, 54, 11, 38, 44, 49], [40, 60, 52, 14, 53, 12]]"
"[[61, 21, 36, 70, 57, 15, 30, 41, 23, 49], [4, 74, 71, 3, 32, 55, 38, 10], [48, 37, 64, 1, 50, 34], [44, 56, 69, 5, 20, 27], [52, 35, 58, 72, 39, 67], [68, 6, 63, 42, 22, 62, 47, 60, 29], [26, 59, 11, 12, 16], [17, 28, 25, 65, 14, 8, 19], [75, 45, 13, 53, 7, 31], [2, 54, 46], [51, 33, 73, 24, 40], [66, 9, 18, 43]]"
"[[51, 73, 62, 43, 9, 10, 72, 13, 57], [19, 52, 27, 15, 33, 2, 75], [11, 67], [70, 47, 1, 41, 24, 40], [21, 29], [53, 7, 58, 31, 44, 4], [46, 59, 54, 71, 60, 36, 68, 49, 32], [42, 5, 38], [22, 16, 56, 18, 25, 12], [17, 28, 30, 45], [66, 14, 35, 50], [65, 8, 34, 20, 37, 74, 63, 26], [6, 48, 69, 61, 64, 23, 3, 39, 55]]"
"[[33, 44, 12, 53], [56, 73, 28, 20, 60, 36, 47], [2, 51, 39, 40], [4, 27, 59, 35, 25, 24, 23, 49], [52, 13, 21, 22, 32, 50], [7, 63, 61, 64, 37, 15, 31], [17, 38, 58, 9, 18, 41], [75, 11], [46, 29, 48, 62, 43, 55, 65, 54], [26, 3, 42, 1, 71, 69, 30], [72, 10, 67], [45, 5, 70, 57, 6, 16], [68, 74, 19, 14, 66, 8, 34]]"
