ruta_final
"[[25, 55, 31, 10, 58, 12], [5, 37, 36, 69, 61, 28], [34, 52, 35, 8, 46], [67, 7, 53, 14, 59, 19], [2, 74, 21, 30], [4, 27, 15, 57, 54, 13], [16, 49, 24, 18, 50, 3, 17], [51, 63, 1, 43, 23, 56], [45, 29, 20, 60, 70, 71, 47, 48], [11, 66, 65, 38, 26], [6, 33, 73, 68, 75], [41, 42, 64, 22, 62], [44, 32, 9, 39, 72, 40]]"
"[[45, 48, 21, 28, 74, 30], [72, 31, 25, 9, 39], [58, 10, 38, 11, 53], [32, 18, 55, 50, 44, 3, 51, 17], [6, 49, 16, 63, 33, 2, 68], [69, 47, 61, 36, 60, 70, 71, 20, 37, 5], [43, 41, 42, 64, 22], [67, 4, 75], [35, 14, 59, 66, 65], [52, 46, 34], [27, 29, 15, 57, 13], [12, 26, 7, 8, 54, 19], [40, 24, 56, 23, 1, 73, 62]]"
"[[6, 33, 1, 41, 43, 73], [68, 74, 21, 47, 36, 69, 5, 29], [40, 12, 45, 15, 57, 13, 27], [63, 49, 56, 24, 23, 16, 51, 17], [58, 72, 10, 31, 39, 9], [34, 52, 46], [3, 55, 25, 44, 32, 50, 18], [75], [62, 22, 42, 64, 61, 28, 2], [38, 65, 66, 11, 53, 35], [7, 59, 14, 19, 54, 8], [67, 26], [30, 48, 71, 60, 70, 20, 37], [4]]"
"[[4, 34], [68, 33, 16, 44, 32, 40], [47, 71, 60, 36, 69, 21, 61, 30], [45, 29, 74, 73, 62, 22, 28, 2], [27, 15, 57, 20, 70, 37, 5, 48], [9, 50, 55, 25], [10, 38, 65, 53, 35, 8, 46], [67, 26, 58, 12, 17], [7, 59, 14, 19, 13, 54, 52], [11, 66, 31, 72, 39], [51, 49, 24, 18, 3, 6, 75], [1, 23, 56, 42, 64, 41, 43, 63]]"
"[[16, 49, 23, 63, 33, 6], [58, 66, 59, 14, 53], [75, 51, 3, 44, 32, 17], [68, 62, 64, 42, 22, 74, 30], [40, 9, 12], [72, 10, 38, 65, 11], [2, 28, 61, 36, 37, 20, 15, 13], [50, 24, 18, 55, 25, 31, 39], [26, 7, 35, 46, 67], [4, 29, 5, 47, 48, 45], [27, 52, 34], [56, 41, 43, 1, 73], [8, 19, 54, 57, 70, 60, 71, 69, 21]]"
"[[10, 31, 72, 39, 40], [26, 7, 8], [12, 9, 50, 32, 44, 17], [61, 71, 69, 64, 42, 22, 28, 74, 30], [58, 11, 53, 14, 35], [68, 2, 62, 43, 56, 23, 41, 1], [38, 65, 66, 59, 19, 54, 13], [27, 57, 15, 20, 60, 70, 36, 21], [75, 6, 33, 73, 63, 18, 55, 25], [52, 34, 46, 67], [16, 49, 24, 3, 51], [4, 45, 29, 5, 37, 47, 48]]"
"[[26, 38, 65, 66, 11], [73, 1, 62], [2, 16, 3, 44, 17], [58, 10, 31, 72, 39, 12], [53, 59, 14, 19, 54, 13], [22, 64, 42, 41, 43, 56, 23], [33, 63, 49, 24, 55, 25, 9], [37, 20, 57, 15, 74, 61, 48, 30, 68], [34, 46, 75], [52, 27, 29, 47, 21, 28], [4, 45, 5, 36, 69, 71, 70, 60], [35, 8, 7, 67], [6, 51, 32, 50, 18, 40]]"
"[[8, 52, 27, 45, 30], [43, 56, 23, 63, 6], [26, 17, 51, 33, 1, 73], [28, 61, 64, 41, 42, 22, 62], [12, 58, 65, 66, 38], [75, 68], [50, 25, 55, 18, 24, 49, 16], [72, 31, 10], [48, 5, 37, 20, 70, 71, 60], [47, 36, 69, 21, 74, 2], [67, 4], [40, 39, 9, 32, 44, 3], [7, 53, 14, 59, 11], [29, 15, 57, 13, 54, 19, 35], [34, 46]]"
"[[4, 45, 27], [49, 24, 18, 50, 39, 72], [33, 73, 62, 28, 74, 2], [9, 25, 55, 32, 51, 6, 68], [37, 71, 70, 60, 20, 5, 29], [47, 36, 69, 21, 48, 30], [26, 58, 31, 10], [17, 40, 3, 44, 12], [8, 19, 54, 59, 14, 53, 35], [52, 13, 57, 15, 61, 22, 1], [67, 46, 34, 75], [11, 65, 66, 38, 7], [43, 42, 64, 41, 56, 23, 63, 16]]"
"[[33, 43, 41, 64, 42, 22], [35, 11, 66, 59, 14], [3, 44, 32, 9, 40], [26, 12, 58, 65, 38, 53, 7], [24, 49, 18, 50, 55, 25, 39, 17], [67, 34, 27, 5, 29, 45], [75], [51, 16, 72, 31, 10], [19, 54, 13, 52, 8, 46], [37, 71, 60, 70, 20, 57, 15], [2, 28, 61, 69, 36, 47], [63, 56, 23, 1, 62, 73, 6], [4, 30, 48, 21, 74, 68]]"
"[[53, 14, 59, 19, 27, 45], [31, 10], [29, 5, 48, 58, 72, 39, 12], [46, 34, 4], [1, 43, 41, 42, 64, 22, 28], [65, 66, 11, 38, 35, 7], [47, 71, 60, 70, 20, 57, 54, 8], [51, 16, 50, 18, 24, 49, 56, 23], [52, 13, 15, 37, 36, 69, 61, 21], [17, 40], [3, 44, 32, 25, 55, 9], [75, 67, 26], [6, 33, 63, 73, 62, 2], [68, 30, 74]]"
