ruta_final
"[[12, 54, 77, 81, 32, 69, 83, 45, 91, 85, 96], [88, 19, 63, 90, 50, 24, 55, 4, 56, 23, 74, 40, 98, 86, 61, 84], [28, 1, 9, 70, 6, 94, 2, 41, 75, 58], [13, 97, 100, 52, 11, 30, 51, 71, 65, 35, 79, 76, 27], [89, 99, 93, 16, 42, 87, 67, 25, 80, 31, 48], [68, 78, 34, 62, 47, 36, 8, 18, 5, 37, 57, 22, 53], [20, 66, 33, 21, 72, 73, 38, 59, 60], [7, 10, 64, 49, 46, 82, 95, 44, 14, 15, 26, 29, 3], [17, 92, 43, 39]]"
"[[52, 11, 48, 18, 93, 87, 74, 72, 29, 12, 26], [31, 7, 19, 47, 46, 82, 84, 5, 14, 6], [49, 36, 17, 86, 37, 92, 97, 94, 13, 54, 28], [1, 32, 9, 81, 68, 80, 4, 75, 22], [27, 88, 70, 20, 66, 50], [60, 83, 8, 61, 38, 98, 59, 95, 73, 21], [57, 43, 67, 25, 55, 35, 90, 64, 10, 30, 76], [40, 77, 69, 63, 65, 34, 24, 39, 56, 42, 44, 16, 99, 96], [33, 71, 79, 3, 23, 41, 15, 2, 100, 45], [53, 58, 91, 85, 89, 62, 51, 78]]"
"[[76, 24, 81, 9, 32, 93, 16, 42, 13], [53, 58, 87, 91, 61, 38, 43, 75, 67, 29, 78, 35, 20, 63, 64, 7, 88], [74, 80, 34, 10, 62, 11, 19, 36, 46, 18, 83, 84, 96, 92, 94], [50, 1, 30, 70, 47, 17, 44, 99, 57, 22, 23, 56], [28, 69, 65, 33, 77, 12, 55, 21, 73, 15, 97, 60, 82, 48, 52], [98, 100, 40, 26, 4, 25, 68, 79, 90, 27], [2, 41, 14, 37, 85, 86, 8, 31], [89, 5, 45, 49, 66, 71, 51, 3, 54, 72], [6, 59, 95, 39]]"
"[[58, 98, 15, 75, 56, 54, 79, 78, 9, 50, 69, 7], [25, 67, 42, 85, 83, 11, 63, 30, 70, 31, 88], [40, 72, 23, 74, 2, 57, 100, 6, 64, 65, 35, 3, 68], [43, 99, 62, 71, 81, 34, 29, 4, 12], [55, 97, 59, 37, 44, 61, 60, 36, 49, 19, 48, 52, 27], [45, 5, 91, 92, 95, 96, 94, 39], [10, 20, 33, 80, 24, 73, 87, 14, 86, 17, 53], [28, 77, 1, 66, 32, 90, 47, 46, 38, 93, 89], [41, 22, 21, 26, 76, 51, 18, 82, 8, 84, 16, 13]]"
"[[31, 33, 12, 67, 43, 57, 87, 99], [28, 69, 81, 70, 62, 8, 17, 5, 93, 100, 95], [49, 11, 32, 79, 25, 22, 58], [53, 26, 54, 76, 50, 78, 34, 9, 51, 63, 82, 38, 97, 94], [1, 3, 35, 30, 88, 48, 46, 60, 86, 15, 72], [27, 52, 98, 91, 36, 19, 64, 90, 20, 68, 80, 4, 56, 23, 74], [89, 18, 47, 84, 61, 16, 85, 37, 59, 13], [66, 45, 83, 6, 75, 21, 40], [96, 92, 44, 14, 42, 2, 73, 41, 39, 55, 24, 29, 77, 71, 65, 10, 7]]"
"[[12, 88, 62, 7, 18, 83, 44, 38, 14, 93, 96, 89], [77, 65, 31, 17, 61, 85, 98, 59, 57, 21, 26], [40, 54, 55, 67, 72, 97, 43, 86, 16, 5, 60, 6], [28, 1, 3, 33, 66, 20, 30, 70, 45, 22, 74, 58], [73, 41, 15, 87, 95, 52, 84, 8, 49, 32, 71, 34, 76], [13, 94, 37, 42, 75, 39, 25, 24, 78, 35, 9, 50, 36, 47], [27, 11, 63, 10, 79, 68, 80, 4, 56, 99], [69, 81, 51, 90, 64, 19, 48, 82, 46, 91], [53, 92, 100, 2, 23, 29]]"
"[[75, 22, 38, 16, 5, 83, 45, 49, 63, 76], [89, 30, 51, 34, 79, 54, 25, 39, 56, 58], [60, 61, 86, 95, 15, 67, 55, 80, 78, 9, 1, 31, 62], [37, 42, 26, 68, 77, 50, 81, 65, 32, 19, 88], [74, 41, 43, 14, 91, 93, 96, 94, 18, 8, 46, 20, 35, 33, 29, 12, 27], [7, 64, 36, 17, 84, 85, 100, 92, 87, 72, 53], [52, 48, 47, 90, 10, 70, 71, 3, 28, 40, 97, 6], [69, 23, 21], [13, 99, 59, 98, 44, 57, 2, 73, 4, 24, 66, 11, 82]]"
"[[28, 54, 55, 22, 58, 94, 93, 61, 17, 46, 47, 36, 64], [5, 91, 87, 26, 53], [75, 15, 42, 38, 16, 95, 13, 60, 8, 52, 69, 27], [97, 96, 99, 85, 84, 45, 49, 10, 70, 29, 72, 74], [88, 1, 9, 35, 81, 33, 76, 21, 73, 4, 39, 41, 14, 37, 92], [89, 100, 67, 80, 68, 12, 50, 34, 32, 11, 19], [7, 62, 90, 30, 51, 79, 24, 25, 57, 43, 98, 44, 86, 83, 18], [6, 82, 31, 63, 66, 65, 71, 20, 3, 77, 56, 23, 2], [40, 59, 48, 78]]"
"[[28, 12, 24, 34, 51, 32, 69, 18, 60, 93, 85, 42, 57, 58], [70, 1, 29, 39, 23, 15, 44, 16, 61, 96, 13], [5, 84, 91, 37, 2, 67, 68, 35, 62, 11, 49, 19], [7, 46, 36, 10, 65, 71, 40, 73, 74, 22, 87, 92], [48, 47, 88, 3, 77, 21, 41, 14, 86, 99], [26, 76, 50, 33, 78, 54, 55, 25, 4, 56, 75, 43, 94, 17, 8, 64, 90, 52], [95, 6, 83, 45, 82, 63, 30, 20, 66, 9, 81, 79], [97, 38, 100, 98, 59, 89, 31, 27, 80, 72, 53]]"
"[[59, 91, 44, 87, 72, 23, 55, 65, 31], [30, 71, 32, 11, 10, 52, 60, 61, 95], [26, 73, 75, 4, 39, 67, 25, 24, 50, 35, 20, 69, 36, 18, 92], [56, 74, 13, 97, 37, 98, 86, 82], [57, 15, 99, 96, 94, 88, 70, 51, 9, 81, 12], [1, 79, 29, 40, 22, 2, 14, 93, 5, 17, 8, 6, 53], [100, 41, 21, 77, 3, 34, 64, 49, 19, 48, 89], [28, 76, 54, 43, 16, 83, 46, 47, 7, 62, 63, 90, 27], [80, 68, 78, 33, 66, 45, 84, 85, 38, 42, 58]]"
"[[13], [98, 17, 8, 48, 19, 51, 81, 33, 79, 24, 55, 21, 2, 58], [68, 29, 34, 32, 11, 31, 61, 44, 38, 53], [6, 97, 42, 84, 83, 18, 52, 7, 88, 10, 30, 66, 78, 12, 4, 56, 40], [87, 91, 93, 5, 64, 62, 69, 77, 25], [85, 41, 67, 39, 26, 76, 9, 65, 71, 50], [28, 80, 35, 20, 47, 36, 46, 45, 16, 99, 59, 92, 37, 43, 15, 57, 73], [96, 95, 100, 86, 14, 74, 75, 23, 3, 1, 90, 27], [22, 72, 54, 70, 63, 49, 82, 60, 94, 89]]"
"[[31, 70, 30, 66, 10, 11, 49, 45, 83, 38, 14], [68, 3, 78, 90, 88], [28, 35, 34, 24, 58, 21, 22, 43, 91, 85, 17, 46, 5], [26, 75, 41, 87, 6, 8, 82, 89], [69, 32, 64, 36, 47, 19, 7, 96, 95, 37, 100, 15, 73, 40, 13], [53, 98, 23, 67, 4, 81], [2, 74, 72, 56, 25, 55, 54, 12, 9, 71, 65, 52, 84, 16, 92, 99], [94, 97, 42, 86, 93, 60, 48, 62, 63, 76, 80], [61, 44], [27, 1, 20, 51, 50, 77, 33, 79, 29, 39, 57, 59, 18]]"
"[[52, 46, 90, 20, 71, 9, 34, 79, 25, 67, 39, 28], [10, 91, 44, 57, 13], [69, 88, 63, 32, 70, 33, 24, 4, 41, 14, 16, 86, 17, 95], [37, 42, 73, 55, 54, 80, 77, 35, 30, 49, 89], [50, 31, 47, 82, 83, 5, 15, 75, 2, 87], [27, 3, 65, 64, 11, 19, 8, 84, 59, 92, 22, 40, 26, 53], [6, 96, 98, 38, 61, 45, 36, 48, 7, 62, 66, 51], [18, 93, 85, 100, 43, 23, 68, 58], [1, 81, 78, 29, 76, 12, 21, 72, 56, 74, 97, 94, 99, 60]]"
"[[6, 60, 99, 93, 91, 98, 37, 42, 75, 56, 4, 55, 24, 3, 33, 71, 20, 31, 52], [59, 92, 14, 22, 68, 66, 11, 49, 62, 7], [28, 12, 54, 34, 81, 48, 100, 94, 13], [27, 83, 17, 86, 84, 5], [53, 40, 26, 50, 1, 70, 9, 29, 67, 73, 41, 57, 85, 8], [95, 23, 39, 30], [87, 38, 74, 25, 35, 65, 64, 47, 89], [69, 77, 78, 51, 32, 46, 82, 18, 61, 16, 44, 97, 58], [76, 80, 79, 88, 10, 90, 63, 19, 36, 45, 96, 43, 15, 2, 72, 21]]"
"[[28, 26, 99, 85, 100, 41, 39, 34, 33, 30, 11], [12, 4, 21, 57, 38, 37, 59], [88, 65, 80, 54, 55, 56, 23, 22, 15, 43, 14, 44, 61, 84, 97, 6], [50, 3, 71, 32, 47, 48, 82, 17, 42, 94, 89], [58, 72, 87, 95, 92, 16, 7, 90, 79, 77, 68], [52, 69, 40, 24, 76, 9, 20, 62, 63, 64, 49, 8, 18, 93, 91, 13], [27, 31, 70, 1, 29, 78, 81, 66, 10, 36, 83, 96, 74, 53], [51, 35, 25, 67, 75, 73, 2, 98, 86, 5, 60, 45, 46, 19]]"
"[[52, 59, 92, 14, 42, 15, 75, 67, 4, 68], [22, 23, 43, 57, 87, 94, 17, 46, 88, 10, 32, 50], [1, 9, 81, 78, 29, 80, 55, 72, 74, 73, 21, 40, 100, 99, 45], [69, 63, 11, 36, 48, 16, 85, 98, 53, 56, 79, 28], [12, 76, 33, 34, 35, 30, 31, 47, 82, 37, 41, 2, 58], [70, 71, 65, 66, 20, 90, 64, 19, 8, 60, 5, 86, 44], [13, 97, 38, 83, 62, 27, 77, 3, 24, 25, 54, 26], [39, 51, 49, 7, 18, 84, 61, 91, 93, 96, 95, 6, 89]]"
"[[53, 75, 22, 44, 5, 45, 8, 82, 64, 63, 77], [96, 99, 100, 15, 21, 39, 67, 24, 78, 81, 7], [60, 83, 20, 71, 65, 34, 79, 29, 68, 25, 23], [6, 59, 84, 86, 14, 87, 13, 12, 70], [51, 9, 3, 40, 73, 2, 43, 37], [28, 26, 41, 57, 98, 85, 93, 49, 19, 88], [31, 32, 66, 50, 80, 56, 72, 58, 97, 92, 94], [89, 16, 10], [27, 52, 95, 38, 91, 18, 48, 46, 47, 90, 30, 35, 33, 76], [54, 55, 4, 74, 42, 61, 17, 36, 11, 62, 1, 69]]"
"[[27, 18, 36, 88, 71, 78, 29, 39, 56, 2, 14, 94], [96, 99, 86, 100, 15, 73, 4, 54, 9, 31, 52], [6, 44, 84, 45, 32, 20, 35, 34, 81, 24, 23, 74, 40, 28], [26, 22, 43, 38, 42, 97, 7, 49, 64, 66, 30, 1, 69], [53, 21, 57, 98, 93, 85, 16, 17, 5, 83], [67, 80, 68, 76, 65, 46, 8, 59, 92, 95, 87], [89, 82, 62, 10, 70, 51, 33, 79, 77, 55, 25, 75, 13], [58, 41, 37, 91, 61, 48, 47, 19, 11, 63, 90, 50, 3], [12, 72, 60]]"
