ruta_final
"[[31, 88, 19, 47, 36, 45, 84, 59, 92, 95, 94], [53, 26, 54, 80, 68, 77, 76, 69, 27], [10, 70, 30, 66, 65, 78, 79, 3, 12, 28], [33, 81, 9, 71, 35, 34, 29, 24, 2, 57, 42, 87, 13], [97, 37, 98, 85, 93, 99, 96, 6], [52, 7, 62, 11, 49, 64, 63, 90, 32, 20, 51, 50, 1], [100, 91, 44, 14, 38, 86, 17, 46, 48, 82, 8, 83, 18], [21, 72, 56, 67, 23, 41, 15, 43, 16, 61, 5, 60, 89], [40, 4, 55, 25, 39, 75, 22, 74, 73, 58]]"
"[[50, 33, 81, 9, 35, 34, 78, 68, 80, 12, 26, 53], [6, 94, 95, 37, 100, 91, 16, 86, 61, 83, 8, 18, 89], [5, 93, 85, 98, 59, 96], [82, 48, 47, 36, 49, 64, 63, 10], [13, 2, 73, 75, 56, 23, 67, 39, 25, 55, 4], [21, 72, 74, 22, 41, 15, 57, 87], [52, 19, 11, 62, 31, 27], [58, 40, 54, 24, 29, 71, 65, 66, 20, 51, 28], [69, 70, 90, 32, 30, 1], [76, 77, 3, 79, 88, 7, 46, 45, 17, 84, 60, 99, 92, 44, 38, 14, 43, 42, 97]]"
"[[1, 70, 30, 90, 63, 11, 64, 49, 46, 97, 87, 74, 75, 56, 72], [18, 60, 83, 82, 48, 47, 36, 19, 62, 88], [13, 95, 92, 37, 98, 85, 100, 42, 57, 2], [26, 54, 55, 25, 39, 4, 21, 40, 58, 53], [27, 69, 89, 93, 14, 43, 15, 41, 22, 73], [31, 10, 32, 66, 20, 51, 29, 24, 67, 23], [94, 59, 91, 44, 38, 86, 16, 61], [79, 78, 34, 35, 65, 71, 9, 81, 33, 50], [6, 96, 99, 5, 84, 17, 45, 8, 7, 52], [12, 80, 68, 3, 77, 76, 28]]"
"[[1, 90, 63, 64, 49, 36, 8, 83, 5, 98, 100, 37, 92, 97], [27, 48, 47, 46, 45, 17, 61, 87, 57, 2, 58, 53], [28, 76, 50, 3, 77, 68, 80, 12], [13, 95, 59, 93, 99, 96, 94], [73, 74, 22, 42, 91, 16, 85], [40, 21, 72, 75, 23, 39, 4, 26], [52, 82, 18, 60, 84, 86, 38, 44, 14, 43, 15, 41, 56, 67, 25, 55], [54, 24, 29, 79, 33, 81, 51, 30, 70, 62, 11, 19, 7, 88, 69], [78, 34, 9, 35, 71, 65, 66, 20, 32, 10, 31, 89, 6]]"
"[[44, 38, 14, 41, 22, 74, 72, 4, 24, 29, 34, 35, 9, 50], [94, 95, 97, 37, 98, 92, 69, 31, 70, 33, 78, 79, 3, 77, 76], [26, 54, 55, 25, 39, 67, 23, 56, 75, 73, 21], [28, 27, 5, 84, 61, 91, 100, 59, 96], [99, 93, 85, 16, 86, 17, 45, 8, 18, 89], [13, 87, 42, 43, 15, 57, 2, 40, 58, 53], [6, 60, 83, 82, 48, 7, 52], [88, 47, 19, 62, 10, 32, 66, 65, 71, 20, 1], [46, 36, 49, 64, 11, 63, 90, 30, 51, 81, 68, 80, 12]]"
"[[21, 72, 74, 56, 39, 4, 54, 80, 68, 12, 28], [76, 77, 3, 51, 9, 71, 66, 20, 30, 1], [96, 99, 93, 5, 45, 46, 48, 62, 10, 70, 69], [89, 18, 82, 7, 88, 31, 52, 27], [59, 16, 86, 38, 44, 91, 92, 95], [73, 75, 22, 41, 15, 43, 14, 100, 37, 98, 85, 61, 17, 84, 60, 6], [58, 2, 87, 97, 42, 57, 23, 67, 25, 55, 24, 29, 79, 50], [53, 13, 94, 83, 8, 19, 11, 63, 90, 32], [47, 36, 49, 64, 65, 35, 34, 78, 81, 33], [40, 26]]"
"[[37, 100, 84, 46, 47, 36, 49, 64, 32, 30, 50, 76, 28], [94, 59, 85, 91, 44, 16, 17, 45, 8, 62, 88, 52], [74, 22, 75, 23, 67, 39, 56], [54, 55, 25, 4, 72, 73, 21, 40], [58, 2, 41, 15, 43, 42, 57, 87], [53, 26, 12, 80, 68, 24, 29, 3, 77, 1, 69, 27], [18, 7, 82, 48, 19, 11, 63, 90, 10, 70, 31], [89, 60, 83, 5, 61, 86, 38, 14, 98, 93, 99, 96, 6], [33, 81, 35, 71, 9], [51, 20, 66, 65, 34, 78, 79], [95, 92, 97, 13]]"
"[[50, 33, 81, 9, 51, 20, 30], [94, 95, 59, 98, 37, 92, 97, 87, 13, 58, 53], [28, 1, 70, 10, 62, 19, 7, 27], [6, 96, 100, 44, 38, 14, 43, 15, 22, 75, 56, 4, 21], [82, 48, 47, 49, 36, 46, 8, 45, 83], [40, 2, 41, 23, 67, 39, 25, 55, 54, 26, 69, 31, 88, 52], [84, 17, 86, 16, 42, 57, 74, 72, 73], [5, 61, 91, 85, 93, 99], [90, 32, 66, 65, 71, 35, 34, 78, 3, 77, 76], [89, 60, 18, 11, 64, 63, 79, 29, 24, 68, 80, 12]]"
"[[6, 96, 95, 94, 13], [53, 58, 42, 14, 44, 38, 86, 16, 91, 100, 37, 59], [48, 47, 36, 49, 64, 32, 20, 81, 33], [40, 74, 22, 41, 57, 15, 43, 61, 84, 17, 45, 46, 8, 82, 18], [99, 93, 85, 98, 92, 97, 12, 76, 28], [69, 1, 51, 9, 34, 29, 24, 4, 72, 73, 21, 26], [27, 31, 88, 62, 10, 66, 65, 71, 35, 78, 79, 3], [52, 7, 19, 11, 63, 90, 30, 70, 50, 77, 68, 39, 56], [89, 60, 83, 5, 87, 2, 75, 23, 67, 25, 55, 54, 80]]"
"[[21, 39, 67, 23, 41, 87, 97, 95, 13], [52, 8, 46, 45, 17, 91, 42, 43, 15, 57, 2, 40, 58], [76, 77, 3, 79, 81, 78, 34, 29, 68, 53], [62, 19, 11, 63, 90, 32, 66, 20, 51, 50, 1, 69], [18, 83, 60, 84, 5, 59, 22, 74, 75, 56, 4, 54, 26], [28, 33, 9, 35, 65, 71, 30, 70, 31, 88, 27], [89, 61, 16, 86, 38, 14, 44, 100, 92, 94], [7, 82, 48, 47, 36, 49, 64, 10], [6, 96, 99, 93, 85, 98, 37, 73, 72, 25, 55, 24, 80, 12]]"
