ruta_final
"[[59, 85, 91, 44, 86, 38, 14, 100, 13], [6, 96, 99, 93, 16, 61, 84, 5, 60, 18, 52, 27], [69, 1, 70, 32, 90, 19, 47, 48, 8, 45, 17, 98, 37, 92, 95], [53, 40, 75, 23, 67, 25, 55, 24, 29, 34, 78, 79, 68, 80], [89, 46, 36, 49, 64, 11, 31, 50, 26, 21, 72, 73, 58], [2, 22, 41, 15, 43, 42, 83, 82, 7, 88, 62, 10, 63, 20, 51, 3, 77, 76], [28, 12, 54, 4, 39, 56, 74, 57, 87, 97, 94], [33, 81, 9, 35, 71, 65, 66, 30]]"
"[[52, 18, 96, 99, 59, 37, 98, 91, 100, 42, 87, 97, 13], [19, 36, 49, 64, 11, 63, 90, 32, 50, 68, 80, 12], [7, 47, 46, 17, 86, 38, 14, 44, 16, 61, 5, 60, 89], [94, 95, 92, 83, 82, 88, 31, 33, 78, 29, 24, 25, 55, 54, 28], [6, 93, 85, 84, 45, 8, 48, 62, 10, 70, 69, 27], [51, 71, 65, 35, 34, 4, 72, 15, 43, 57, 2, 58], [26, 39, 67, 23, 56, 75, 41, 22, 74, 73, 21, 40, 53], [1, 30, 20, 66, 9, 81, 79, 3, 77, 76]]"
"[[10, 63, 11, 64, 49, 36, 47, 45, 17, 86, 16, 84, 83], [28, 76, 12, 26, 21, 74, 22, 41, 15, 43, 38, 44, 92], [27, 69, 52, 7, 48, 82, 8, 18, 89, 6, 95, 97, 87, 40], [68, 80, 54, 55, 25, 39, 67, 23, 75, 13], [53, 94, 96, 99, 59, 93, 85, 91, 61, 5, 60], [51, 71, 35, 65, 66, 32, 90, 19, 46, 98, 37, 100, 14, 42, 57, 2], [77, 3, 33, 81, 78, 34, 9, 20, 30, 70, 62, 88, 31], [58, 73, 72, 56, 4, 24, 29, 79, 50, 1]]"
"[[26, 4, 39, 67, 23, 75, 41, 15, 43, 100, 92], [32, 90, 63, 11, 64, 49, 46, 86, 16, 91, 85], [89, 60, 5, 84, 61, 93, 99, 94, 13, 58, 53], [31, 10, 70, 51, 9, 34, 78, 54, 55, 25, 56, 87, 37, 98, 59], [21, 73, 72, 74, 22, 57, 42, 14, 38, 44, 17, 45, 8, 83, 18], [27, 69, 1, 30, 20, 66, 65, 71, 35, 81, 33, 50, 28], [76, 77, 3, 79, 29, 24, 68, 80, 12, 40, 2, 97, 95, 96, 6], [88, 62, 19, 36, 47, 48, 82, 7, 52]]"
"[[90, 32, 20, 66, 65, 71, 35, 34, 78, 29, 80, 54, 4, 56, 26], [89, 18, 60, 5, 93, 37, 42, 43, 15, 22, 74, 72, 73, 21, 40], [13, 97, 87, 2, 75, 39, 25, 55, 24, 68, 12, 28], [10, 62, 11, 48, 8, 45, 17, 84, 61, 85, 99, 96, 6], [94, 100, 44, 38, 14, 57, 41, 23, 67], [76, 77, 3, 79, 30, 63, 64, 49, 36, 46, 47, 19, 7, 52], [53, 58, 95, 59, 92, 98, 91, 16, 86, 83, 82, 88, 69, 1], [27, 31, 70, 51, 9, 81, 33, 50]]"
"[[53, 12, 68, 80, 26, 40, 95, 92, 100, 91, 17, 45, 46, 8, 83, 89], [31, 88, 62, 10, 70, 51, 9, 71, 65, 35, 34, 78, 76], [58, 57, 43, 15, 41, 56, 39, 4, 24, 29, 79, 3, 77, 28], [27, 52, 7, 19, 64, 49, 36, 47, 48, 82], [69, 1, 30, 20, 66, 32, 90, 63, 11, 18, 94, 13], [6, 96, 93, 61, 85, 98, 37, 2, 73, 74, 72, 21], [54, 55, 25, 67, 23, 75, 22, 97, 59, 99, 5, 60], [50, 33, 81, 84, 16, 86, 38, 44, 14, 42, 87]]"
"[[69, 30, 90, 63, 64, 49, 19, 11, 62, 7, 82, 8, 83, 84, 60], [58, 13, 89, 52, 31, 10, 32, 66, 20, 1], [59, 93, 85, 98, 97, 40, 21, 4, 55, 54, 26], [50, 9, 71, 65, 35, 34, 29, 24, 25, 39, 74, 73, 2, 57, 42, 87], [95, 37, 100, 91, 61, 5, 18, 88, 70, 51, 33, 81, 78, 79, 3], [6, 96, 99, 16, 44, 38, 86, 17, 45, 46, 36, 47, 48], [94, 92, 14, 43, 15, 41, 22, 75, 23, 67, 56, 72], [53, 12, 80, 68, 77, 76, 28, 27]]"
"[[13, 95, 96, 82, 36, 49, 64, 32, 30, 51, 9, 78], [89, 60, 83, 8, 46, 47, 48, 19, 11, 63, 90, 10, 31], [33, 81, 79, 29, 24, 56, 75, 41, 57, 42, 100, 37, 98, 92, 59, 99], [53, 58, 40, 26, 12, 34, 35, 71, 65, 66, 20, 1, 28], [15, 43, 14, 38, 44, 91, 85, 61, 17, 84, 5, 6], [73, 74, 72, 54, 80, 68, 3, 77, 76, 50, 70, 62, 7, 88, 69], [21, 4, 55, 25, 39, 67, 23, 22, 2, 87, 97], [27, 52, 18, 45, 86, 16, 93, 94]]"
"[[94, 95, 92, 91, 44, 38, 14, 41, 22, 23, 75, 74, 73], [30, 20, 66, 65, 71, 35, 9, 34, 78, 54, 4, 40], [5, 84, 45, 46, 47, 48, 82, 1, 3, 77, 76, 28], [27, 89, 18, 60, 85, 98, 37, 100, 42, 43, 15, 57, 2, 58, 53], [12, 79, 81, 70, 83, 17, 86, 16, 61, 93, 99, 96, 6], [13, 87, 97, 59, 8, 36, 49, 64, 11, 19, 7, 52], [50, 33, 51, 32, 90, 63, 10, 62, 88, 31, 69], [21, 72, 56, 39, 67, 25, 55, 24, 29, 68, 80, 26]]"
"[[78, 81, 9, 30, 10, 62, 82, 99, 98, 100, 37, 13, 53], [89, 18, 83, 60, 84, 17, 86, 38, 16, 61, 93, 59, 6], [69, 70, 20, 66, 65, 71, 35, 34, 79, 3, 77, 12], [85, 91, 44, 14, 42, 43, 15, 23, 67, 25, 4, 26], [95, 92, 97, 87, 57, 2, 21, 54, 80, 68, 76, 50], [1, 51, 33, 29, 24, 55, 39, 56, 75, 41, 22, 74, 72, 73, 40, 58], [94, 96, 5, 45, 8, 46, 36, 47, 48, 7, 27, 28], [52, 88, 19, 49, 64, 11, 63, 90, 32, 31]]"
"[[40, 74, 22, 57, 97, 59, 5, 83, 8, 82, 48, 7, 52], [76, 68, 12, 26, 13, 96, 84, 17, 45, 46, 36, 47, 19], [28, 80, 54, 21, 2, 87, 42, 14, 44, 38, 86, 16, 60], [62, 11, 49, 64, 63, 90, 32, 20, 30, 1], [50, 33, 81, 9, 51, 66, 65, 71, 35, 34, 78, 79, 3], [27, 69, 70, 10, 31, 88, 18, 61, 91, 100, 37, 92, 95, 94, 6], [77, 29, 24, 55, 25, 67, 56, 75, 41, 15, 43, 98, 85, 93, 99, 89], [4, 39, 23, 72, 73, 58, 53]]"
"[[26, 12, 80, 68, 24, 54, 55, 39, 56, 74, 72, 40], [27, 52, 30, 20, 66, 65, 71, 35, 34, 78, 79, 3], [87, 42, 98, 85, 5, 82, 7, 62, 11, 90, 10, 88], [6, 96, 99, 93, 91, 16, 44, 38, 14, 100, 37, 97, 95, 13], [58, 2, 57, 41, 22, 75, 23, 67, 25, 29, 81, 33, 50, 69], [28, 1, 70, 31, 19, 47, 48, 8, 83, 60, 18, 89], [51, 9, 32, 63, 64, 49, 36, 46, 45, 17, 84], [76, 77, 4, 21, 73, 15, 43, 86, 61, 59, 92, 94, 53]]"
"[[94, 59, 60, 83, 45, 8, 11, 63, 90, 32, 70, 69], [73, 56, 39, 25, 55, 24, 29, 77, 3, 33, 51, 10, 62, 88, 7, 82, 18, 52], [50, 79, 78, 34, 35, 71, 65, 66, 20, 30, 1], [48, 47, 36, 46, 17, 61, 85, 98, 37, 92, 97, 95], [31, 19, 49, 64, 9, 81, 76, 26, 58, 53], [75, 23, 67, 4, 54, 80, 68, 12, 28], [27, 6, 96, 99, 93, 16, 91, 100, 43, 15, 57, 41, 22, 74, 72, 21, 40], [13, 2, 87, 42, 14, 44, 38, 86, 84, 5, 89]]"
"[[27, 69, 1, 50, 70, 10, 62, 7, 18, 60, 5, 85, 93, 6], [13, 42, 43, 15, 41, 22, 74, 75, 56, 23, 67, 25, 55, 4, 26], [52, 88, 19, 49, 47, 48, 82, 8, 83, 89], [53, 40, 72, 39, 24, 29, 78, 34, 9, 81, 77, 76], [3, 79, 35, 71, 65, 66, 64, 36, 46, 45, 17, 84, 100, 37, 95], [31, 11, 63, 90, 32, 30, 20, 51, 33], [61, 16, 86, 38, 14, 44, 91, 98, 92, 97, 87, 2, 58], [94, 96, 99, 59, 57, 73, 21, 54, 80, 68, 12, 28]]"
"[[27, 52, 7, 48, 47, 19, 11, 10, 70, 1, 26, 21, 40], [5, 60, 83, 69, 50, 81, 9, 35, 34, 78, 79], [89, 18, 82, 8, 45, 84, 93, 100, 14, 43, 15, 22, 74, 73], [80, 68, 3, 33, 51, 71, 65, 66, 20, 32, 90, 30], [13, 95, 59, 92, 97, 87, 41, 75, 4, 25, 55, 24, 29, 77, 76], [6, 99, 85, 61, 17, 46, 36, 49, 64, 63, 62, 88, 31], [53, 58, 2, 57, 42, 44, 38, 86, 16, 91, 98, 37, 96, 94], [28, 12, 54, 39, 67, 23, 56, 72]]"
