ruta_final
"[[51, 78, 34, 68, 24, 3, 19, 48, 86, 37, 57, 6], [76, 10, 32, 90, 63, 47, 46, 17, 5, 93, 44, 94], [39, 20, 49, 82, 60, 61, 85], [27, 35, 11, 62, 18, 38, 58], [84, 13, 42, 43, 67, 25, 79, 65, 9, 33, 12], [80, 4, 55, 72, 41, 98, 14, 83, 36, 88, 31, 30, 66, 71], [52, 45, 16, 91, 15, 22, 75, 87, 59], [1, 50, 81, 28, 26, 23, 74, 2, 89, 96], [53, 40, 95, 99, 92, 100, 97, 73, 21, 56, 54, 29, 77, 70, 69, 64, 7, 8]]"
"[[76, 12, 7, 17, 95, 87, 43, 99], [28, 94, 93, 16, 74, 25, 55, 80, 20, 11], [53, 27, 1, 24, 78, 34, 9, 81, 51, 31, 83, 60, 100, 37], [68, 77, 33, 66, 65, 62, 49, 19, 84, 82], [10, 89, 18, 59, 97, 41, 75, 73, 2, 40, 13], [50, 54, 39, 23, 22, 69, 90, 63, 48, 8, 44, 15], [26, 21, 67, 4, 29, 3, 64, 58, 42, 57, 61, 52], [98, 85, 91, 14, 38, 86, 45, 36, 35], [6, 96, 5, 47, 46, 88, 70, 30, 32, 71, 79, 56, 72, 92]]"
"[[4, 25, 67, 56, 75, 74, 22, 2, 84, 83, 46, 8, 82, 3, 9, 26], [88, 53, 40, 73, 72], [52, 85, 91, 54, 12, 29, 71, 65, 20, 64, 63, 62], [6, 87, 99, 45, 19, 90, 76, 68], [77, 23, 39, 43, 14, 44, 100, 10, 51, 50], [80, 24, 35, 30, 27, 18, 47, 16, 61, 37, 92, 95, 41], [69, 81, 78, 34, 28, 31, 49, 48, 17, 94], [98, 93, 86, 38, 97, 57, 55, 33, 66, 32, 89], [7, 36, 11, 70, 1, 79, 21, 15, 42, 5, 60, 96, 59, 13, 58]]"
"[[57, 43, 38, 46, 83, 31, 66, 9, 78, 33, 80, 25, 56, 72, 74, 99], [87, 93, 61, 5, 17, 82, 8, 64, 71, 24, 29, 77, 27], [45, 88, 90, 81, 35, 79, 28], [12, 26, 67, 23, 41, 14, 100, 40, 34, 1, 49, 7], [84, 86, 16, 37, 96, 94, 58, 75, 4, 20, 70], [39, 55, 65, 36, 19, 48, 18, 44, 15, 42], [97, 95, 6, 63, 32, 30, 52, 21, 54, 68], [13, 2, 59, 92, 98, 91, 47, 11, 62, 10, 51, 69, 89], [53, 50, 76, 3, 73, 22, 85, 60]]"
"[[42, 86, 59, 1, 76, 34, 35, 9, 77, 89], [51, 20, 78, 81, 80, 41, 43, 38, 61, 93, 99, 84, 83, 7, 62, 88], [67, 98], [94, 44, 100, 37, 92, 22, 56, 4, 25, 54, 28, 26], [3, 66, 70, 90, 47, 36, 82, 8, 17, 5, 16, 95], [21, 23, 73, 87, 57, 91, 85, 13], [27, 55, 79, 30, 49, 11, 45, 60, 6, 14, 15, 2, 74, 58, 40], [96, 39, 69], [18, 52, 19, 64, 32, 71, 68, 29, 12, 72], [97, 53, 75, 24, 33, 65, 63, 10, 46, 48, 31, 50]]"
"[[26, 70, 64, 19, 69, 71, 35, 80, 12, 40, 95, 16, 44, 42, 74, 25], [60, 99, 94, 58, 28, 76, 50], [89, 96, 5, 84, 17, 14, 41, 23, 55, 1, 30, 10, 52, 82], [53, 54, 78, 79, 3, 73, 21, 56, 22, 43, 15, 97, 6, 18, 7, 27], [2, 72], [32, 63, 11, 36, 49, 83, 9, 77, 68, 67], [62, 47, 46, 45, 8, 61, 93, 87, 57, 75], [31, 88, 20, 66, 81, 29, 24, 4, 39, 100, 91, 98], [48, 38, 86, 85, 59, 92, 13], [37, 90, 51, 65, 34, 33]]"
"[[27, 31, 70, 10, 66, 9, 67, 5, 89], [40, 58, 73, 15, 38, 44, 16, 17, 37, 92, 59, 6, 83, 18, 36, 30, 51], [53, 34, 81, 80, 4, 39, 23, 74, 91, 7, 64, 8, 60], [13, 2, 56, 78, 71, 65, 62, 48, 49, 54], [52, 90, 79, 3, 24, 55, 72, 41, 22, 57, 14, 86, 84, 82, 96], [26, 12, 50, 20, 35, 77, 1, 69, 11, 99, 97, 21], [28, 85, 93], [68, 25, 75, 87, 98, 61, 94, 95], [76, 29, 33, 63, 32, 88, 47, 19, 46, 45, 100, 42, 43]]"
"[[77, 29, 78, 51, 71, 65, 63, 90, 69, 27, 87, 37, 57, 67], [81, 32, 31, 19, 47, 60, 17, 86, 43, 74, 95, 6], [26, 83, 8, 16, 92, 96, 97, 15, 23, 22, 24, 9, 50, 28, 53], [58, 100, 38, 61, 70, 66, 20, 79, 80, 68], [82, 48, 46, 36, 64, 34, 4, 39, 99, 94, 52], [3, 25, 35, 30, 11, 7, 18, 5, 84, 85, 42, 13, 2], [54, 56, 41, 75, 72, 73, 12, 33, 10, 62, 49], [76, 1, 88, 89, 45, 93, 98, 91, 44, 14, 59, 40, 55, 21]]"
"[[96, 92, 100, 84, 31, 90, 71, 3, 1, 50], [68, 55, 67, 12, 81, 33, 51, 70, 82], [26, 97, 13, 17, 19, 88, 30], [53, 94, 87, 21, 79, 24, 65, 49, 46, 45, 89], [69, 10, 63, 32, 66, 73, 41, 38, 14, 44, 59, 83, 60, 6], [34, 35, 9, 78, 80, 4, 23, 75, 58, 52, 62, 7, 61, 43, 57, 2], [27, 11, 99, 93, 15, 74, 72, 25, 39, 56, 22, 40, 76, 28], [98, 37, 85, 8, 64, 47, 18, 77, 29], [20, 36, 48, 5, 16, 86, 91, 95, 42, 54]]"
"[[2, 98, 16, 84, 45, 46, 82, 27, 31, 33, 51, 35, 78, 77, 80, 25, 53], [59, 93, 73, 12, 3, 90, 32, 11, 49, 88], [76, 62, 95, 97, 14, 42, 57, 87, 13, 58], [26, 40, 92, 5, 83, 89, 63, 81, 1, 52], [60, 99, 37, 100, 38, 86, 74, 75, 39, 67, 4], [8, 71, 79, 29, 69, 96, 44, 91, 21, 55, 72, 94], [23, 15, 24, 9, 34, 66, 65, 64, 47, 50], [41, 56, 54, 68, 70, 30, 20, 10, 18, 6, 28], [22, 43, 61, 85, 17, 36, 48, 19, 7]]"
"[[97, 44, 82, 45, 34, 65, 68, 67, 4, 12], [58, 87, 91, 85, 17, 88, 32, 63, 49, 19, 52], [7, 6, 84, 42, 14, 2, 13, 39, 80, 69, 28], [93, 100, 86, 41, 74, 22, 72, 54, 76, 51, 27], [21, 40, 57, 98, 16, 5, 60, 18, 8, 36, 77, 78, 79, 33, 31], [26, 50, 24, 29, 25, 56, 38, 59, 95, 11, 64, 90, 70, 71, 66, 20], [89, 9, 35, 10, 62, 47, 46, 61, 37, 92, 96, 73, 75, 23, 15], [53, 30, 48, 83, 94, 99, 43, 55, 81, 3, 1]]"
"[[5, 67, 75, 41, 57, 17, 86, 46, 69, 30, 66, 10], [14, 43, 44, 83, 36, 49, 11, 89, 20, 65, 78], [16, 38, 42, 39, 22], [76, 81, 9, 63, 64, 19, 88, 33, 72, 2, 100, 99, 58], [26, 18, 8, 85, 87, 21, 73, 68, 34, 35], [40, 4, 54, 12, 29, 3, 71, 7, 47, 45], [60, 82, 62, 32, 79, 80, 24, 25, 55, 56, 91, 97, 95, 6, 94], [53, 74, 23, 13, 92, 59, 93, 61, 84, 90, 51, 1, 52, 28], [48, 31, 70, 77, 50, 15, 98, 37, 96, 27]]"
"[[70, 81, 7, 48, 82, 45, 84, 60, 98, 92, 42, 41, 40], [28, 29, 50, 9, 32, 49, 36, 61, 16, 44, 38, 95], [93, 15, 67, 23, 34, 27], [86, 56, 39, 26, 12, 80, 3, 66, 13], [6, 69, 1, 35, 4, 22, 75, 72, 21, 2, 43, 59, 99], [47, 46, 11, 20, 78, 76, 24, 73, 37, 100, 14, 74], [31, 30, 71, 19, 88, 89, 53, 58, 57, 91, 17, 83, 18, 52], [10, 90, 79, 55, 25, 97, 87, 85, 96, 5, 8], [62, 63, 64, 65, 51, 33, 68, 77, 54, 94]]"
"[[75, 15], [97, 39, 29, 34, 78, 35, 71, 1, 70, 27, 46, 18, 60, 93, 98, 14, 37], [92, 100, 44, 38, 99, 6, 83, 36, 49, 19, 11, 62, 7, 30], [53, 40, 67, 56, 2, 17, 31, 76, 3, 12], [96, 45, 47, 48, 82, 61, 42, 13, 58, 9], [8, 10, 94, 85, 91, 87, 72, 73, 55, 80, 77, 28], [52, 63, 51, 33, 81, 24, 21, 74, 95, 86, 5, 89], [69, 68, 79, 66, 32, 90, 64, 88, 84, 22, 25, 4], [23, 41, 57, 43, 16, 59, 54, 65, 20, 50, 26]]"
"[[85, 91, 96, 65, 34], [33, 78, 9, 71, 20, 10, 32, 27, 18, 60, 38, 14], [53, 100, 16, 5, 64, 49, 62, 31], [13, 37, 23, 39, 25, 80, 81], [72, 56, 15, 57, 59, 61, 84, 8, 7, 11, 19, 63, 51], [12, 29, 22, 74, 58, 87, 6, 83, 48, 89], [90, 76, 3, 77, 68, 55], [73, 67, 2, 42, 86, 17, 99, 98, 92, 94, 95, 28], [26, 1, 66, 30, 70, 47, 21, 4, 54], [52, 97, 93, 44, 43, 41, 75, 40, 24, 79, 35, 50, 69, 88, 36, 46, 45, 82]]"
"[[60, 99, 43, 86, 8, 48, 36, 7, 31], [58, 15, 97, 73, 72, 75, 23, 25, 71, 78, 79, 3], [28, 98, 85, 89, 69, 51, 35, 81, 39], [4, 42, 95, 94, 5, 18, 88, 32], [30, 12, 68, 29, 54, 56, 40, 87, 61, 14, 92], [27, 63, 64, 49, 19, 46, 84, 83, 38, 93, 57, 2, 41, 55, 26, 6], [11, 70, 33, 34, 21, 67, 13, 96, 91], [74, 22, 100, 44, 17, 82, 90, 66, 65, 9, 77, 76, 53], [80, 24, 50, 1, 20, 62, 10, 47, 45, 16, 59, 37, 52]]"
"[[51, 11, 36, 49, 45, 83, 44, 15, 43], [28, 88, 7, 47, 19, 64, 20, 50, 72, 58, 94], [80, 1, 62, 63, 89, 97, 37, 93, 85, 5, 96], [26, 40, 41, 14, 38, 87, 95, 73, 74, 67, 25, 79, 34], [99, 100, 84, 82, 8, 52, 3, 53], [17, 16, 18, 31, 30, 35, 78, 76, 24, 23, 22, 21, 13], [12, 29, 68, 81, 48, 46, 2, 27], [56, 39, 75, 57, 42, 98, 61, 6, 60, 10, 32, 90, 70, 71, 65, 9, 55], [92, 91, 86, 59, 69, 4, 54, 77, 33, 66]]"
"[[6, 17, 83, 48, 62, 70, 80, 67, 22, 21, 2, 96, 14, 38, 42], [52, 82, 69, 81, 51, 34, 35, 65, 66, 30, 77, 76, 74, 57], [8, 99, 93, 92, 43, 73, 27, 3, 71, 11, 31], [13, 58, 4, 25, 1, 28, 7, 47, 49, 18], [89, 45, 84, 88, 10, 20, 78, 39, 56, 75, 26, 12, 53, 40], [50, 32, 9, 79, 29, 68, 24, 54, 41, 87, 15, 44, 46], [63, 64, 5, 60, 61, 85, 95, 55, 23, 72, 97], [33, 90, 19, 36, 86, 16, 91, 100, 37, 98, 59, 94]]"
