ruta_final
"[[61, 16, 86, 38, 44, 100, 37, 92], [52, 88, 62, 11, 47, 19, 48, 7], [58, 41, 22, 74, 2, 87, 97, 95, 94], [6, 96, 99, 93, 98, 91, 85, 59], [53, 26, 12, 68, 77, 3, 51, 20, 30], [40, 75, 23, 67, 39, 56, 73, 13, 83, 8, 82, 18], [24, 29, 80, 54, 55, 25, 4, 72, 21], [89, 60, 5, 84, 17, 45, 46, 36, 49, 64, 63, 10, 31, 27], [57, 15, 42, 43, 14, 28, 50, 81, 33], [76, 79, 78, 34, 35, 9, 71, 66, 65, 32, 90, 70, 69, 1]]"
"[[92, 97, 95, 87, 57, 2, 40, 26, 54, 24, 29, 78, 34, 65, 35, 9], [13, 42, 43, 15, 38, 44, 14, 86, 85, 96], [59, 100, 37, 98, 16, 91, 41, 22, 23, 67, 25, 55, 80, 76, 50], [89, 6, 94, 58, 53], [77, 3, 79, 68, 33, 81, 71, 66, 20], [61, 17, 84, 5, 93, 99, 60, 18, 52, 31, 30, 51], [28, 12, 4, 39, 56, 75, 74, 72, 73, 21], [27, 69, 1, 70, 10, 19, 49, 36, 47, 48], [32, 90, 63, 64, 11, 62, 88], [7, 82, 46, 45, 8, 83]]"
"[[26, 4, 39, 56, 22, 41, 100, 37], [89, 18, 7, 82, 46, 36, 49, 64, 10, 62, 88], [99, 93, 98, 91, 85, 59, 52, 31, 30, 70], [12, 29, 24, 25, 55, 67, 23, 75, 74, 73, 13, 95, 94], [60, 5, 83, 8, 45, 84, 96, 6], [40, 21, 72, 54, 80, 68, 77, 3, 76, 28], [48, 47, 19, 11, 63, 90, 32, 66, 20, 51, 50], [27, 69, 1, 33, 9, 79, 34, 71, 65, 35, 81, 78], [2, 57, 15, 43, 14, 42, 87, 58, 53], [97, 92, 61, 17, 86, 38, 44, 16]]"
"[[26, 54, 24, 68, 80, 29, 77, 12], [1, 51, 35, 9, 34, 65, 71, 66, 20, 30], [40, 58, 13, 97, 42, 100, 44, 38, 14, 91, 37, 92, 95], [84, 17, 86, 16, 61, 45, 46, 49, 64, 88], [18, 60, 83, 8, 82, 32, 90, 63, 11, 62, 10, 70], [55, 25, 67, 23, 22, 41, 43, 15, 2, 57, 87, 94, 89, 52], [53, 28, 33, 81, 78, 79, 3, 76, 50], [27, 69, 31, 19, 36, 47, 48, 7], [21, 4, 39, 56, 75, 74, 72, 73], [6, 5, 99, 85, 93, 98, 59, 96]]"
"[[18, 83, 8, 46, 47, 36, 49, 19, 48, 7, 52], [31, 88, 10, 90, 32, 63, 62], [58, 2, 87, 97, 100, 98, 37, 92, 95], [28, 54, 55, 24, 80, 29, 34, 35, 71, 9, 81, 78, 79, 33], [51, 20, 65, 66, 64, 11, 82, 45, 17, 86, 16, 61, 6], [21, 73, 72, 75, 74, 22, 41, 44, 38, 14, 91, 93], [53, 94, 13, 40, 12, 68, 77, 76], [26, 25, 67, 23, 56, 39, 4, 3, 50, 1, 27], [57, 43, 15, 42, 85, 84, 60, 5, 99, 59, 96, 89, 70, 30, 69]]"
"[[4, 23, 39, 67, 56, 75, 72, 21], [52, 88, 70, 32, 90, 20, 66, 65, 71, 35, 9, 51, 30, 7, 89], [97, 92, 59, 95], [77, 79, 3, 68, 12, 28, 6, 61, 91, 2, 25, 55, 54, 26], [50, 33, 81, 34, 78, 29, 24, 80, 76, 31, 69, 1, 27], [40, 73, 74, 41, 22, 57, 15, 43, 38, 14, 42], [13, 87, 100, 44, 16, 86, 17, 84], [18, 82, 8, 83, 5, 60], [45, 46, 36, 49, 64, 11, 10, 63, 62, 19, 47, 48], [37, 98, 93, 85, 99, 96, 94, 58, 53]]"
"[[68, 80, 40, 2, 57, 87, 97, 94], [96, 99, 93, 91, 61, 85, 98, 59], [69, 1, 70, 30, 66, 65, 71, 35, 34], [58, 41, 15, 43, 42, 84, 45, 17, 8, 46, 82, 18], [76, 50, 28, 12, 77, 3, 79, 33, 51, 9, 20, 32, 90, 63, 7], [6, 16, 86, 38, 44, 14, 100, 37, 92, 95, 13, 53], [52, 27, 73, 74, 75, 22], [48, 47, 36, 49, 64, 11, 19, 10, 62, 88], [56, 23, 39, 67, 25, 55, 54, 26], [89, 5, 60, 83, 31, 81, 78, 29, 24, 4, 72, 21]]"
"[[94, 96, 37, 85, 93, 99, 98, 92, 59, 33, 81], [6, 84, 5, 61, 17, 45, 46, 36, 47, 48], [71, 65, 35, 29, 80, 68, 24, 54, 12, 26, 28], [14, 38, 86, 44, 16, 91, 100, 2, 73, 21], [3, 79, 78, 34, 9, 51, 30, 70, 10, 62, 11, 63, 90], [42, 43, 15, 41, 57, 87, 97, 95, 13, 58, 40, 53], [20, 66, 32, 64, 49, 19, 7, 52], [31, 88, 69, 1, 76, 77, 50, 27, 60, 83, 8, 82, 18, 89], [74, 22, 75, 67, 39, 25, 55, 56, 23, 4, 72]]"
"[[28, 53, 6, 96, 59, 92, 97, 13], [87, 42, 43, 15, 22, 39, 67, 56, 23, 41, 57, 2, 58], [27, 10, 90, 63, 64, 32, 66, 65, 71, 35, 9, 3, 77], [26, 40, 21, 54, 29, 24, 25, 55, 4, 75, 74, 72, 73], [12, 80, 68, 51, 20, 30, 70, 31, 88, 18, 89], [76, 79, 78, 34, 81, 33, 50, 1, 69, 60, 83, 8, 45, 17], [52, 7, 36, 49, 48, 82, 84, 5], [98, 86, 38, 14, 44, 16, 100, 91, 37, 95, 94], [62, 11, 19, 47, 46, 61, 85, 93, 99]]"
"[[28, 12, 54, 4, 56, 23, 39, 67, 25, 55, 26], [79, 34, 35, 65, 71, 66, 32, 90, 78, 29, 24, 80], [31, 88, 62, 11, 19, 47, 48, 18, 83, 60, 89], [40, 22, 41, 75, 57, 42, 87, 58], [72, 74, 73, 21, 1, 10, 63, 64, 49, 36, 46, 96, 6], [53, 27, 52, 7, 82, 8, 45, 17, 61, 84, 5], [99, 93, 85, 59, 51, 9, 20, 30, 70, 69], [13, 97, 100, 91, 16, 86, 44, 14, 38, 43, 15, 2], [76, 68, 77, 3, 33, 81, 50, 94, 95, 92, 98, 37]]"
