iteracion,tiempo_us,coste,operador,instancia,ruta_actual,conSplit
0,0,3453,2-opt,CMT3.vrp,"[[81, 23, 26, 56, 70, 90, 17, 12, 43, 8, 7, 45, 37, 16, 41, 14], [10, 44, 79, 65, 93, 61, 15, 58, 74, 24, 78, 39, 38], [18, 83, 67, 4, 99, 59, 96, 53, 47, 42, 6, 62, 40], [86, 87, 9, 89, 82, 94, 100, 25, 91, 68], [33, 50, 73, 76, 92, 2, 63, 5, 35, 30, 13, 34, 52, 22], [72, 20, 49, 32, 85, 66, 48, 88], [31, 55, 60, 36, 75, 71, 77, 84, 54, 19, 64, 29, 28, 21, 69, 57, 98], [97, 3, 27, 1, 80, 11, 51, 46, 95]]",false
1,1038,3426,2-opt,CMT3.vrp,"[[56, 26, 23, 81, 70, 90, 17, 12, 43, 8, 7, 45, 37, 16, 41, 14], [10, 44, 79, 65, 93, 61, 15, 58, 74, 24, 78, 39, 38], [18, 83, 67, 4, 99, 59, 96, 53, 47, 42, 6, 62, 40], [86, 87, 9, 89, 82, 94, 100, 25, 91, 68], [33, 50, 73, 76, 92, 2, 63, 5, 35, 30, 13, 34, 52, 22], [72, 20, 49, 32, 85, 66, 48, 88], [31, 55, 60, 36, 75, 71, 77, 84, 54, 19, 64, 29, 28, 21, 69, 57, 98], [97, 3, 27, 1, 80, 11, 51, 46, 95]]",false
2,1057,3417,2-opt,CMT3.vrp,"[[81, 26, 23, 56, 70, 90, 17, 12, 43, 8, 7, 45, 37, 16, 41, 14], [10, 44, 79, 65, 93, 61, 15, 58, 74, 24, 78, 39, 38], [18, 83, 67, 4, 99, 59, 96, 53, 47, 42, 6, 62, 40], [86, 87, 9, 89, 82, 94, 100, 25, 91, 68], [33, 50, 73, 76, 92, 2, 63, 5, 35, 30, 13, 34, 52, 22], [72, 20, 49, 32, 85, 66, 48, 88], [31, 55, 60, 36, 75, 71, 77, 84, 54, 19, 64, 29, 28, 21, 69, 57, 98], [97, 3, 27, 1, 80, 11, 51, 46, 95]]",false
3,1064,3414,2-opt,CMT3.vrp,"[[81, 12, 17, 90, 70, 56, 26, 23, 43, 8, 7, 45, 37, 16, 41, 14], [10, 44, 79, 65, 93, 61, 15, 58, 74, 24, 78, 39, 38], [18, 83, 67, 4, 99, 59, 96, 53, 47, 42, 6, 62, 40], [86, 87, 9, 89, 82, 94, 100, 25, 91, 68], [33, 50, 73, 76, 92, 2, 63, 5, 35, 30, 13, 34, 52, 22], [72, 20, 49, 32, 85, 66, 48, 88], [31, 55, 60, 36, 75, 71, 77, 84, 54, 19, 64, 29, 28, 21, 69, 57, 98], [97, 3, 27, 1, 80, 11, 51, 46, 95]]",false
4,1071,3414,2-opt,CMT3.vrp,"[[81, 23, 56, 26, 70, 90, 17, 12, 43, 8, 7, 45, 37, 16, 41, 14], [10, 44, 79, 65, 93, 61, 15, 58, 74, 24, 78, 39, 38], [18, 83, 67, 4, 99, 59, 96, 53, 47, 42, 6, 62, 40], [86, 87, 9, 89, 82, 94, 100, 25, 91, 68], [33, 50, 73, 76, 92, 2, 63, 5, 35, 30, 13, 34, 52, 22], [72, 20, 49, 32, 85, 66, 48, 88], [31, 55, 60, 36, 75, 71, 77, 84, 54, 19, 64, 29, 28, 21, 69, 57, 98], [97, 3, 27, 1, 80, 11, 51, 46, 95]]",false
5,1088,3413,2-opt,CMT3.vrp,"[[81, 23, 26, 56, 70, 90, 17, 16, 37, 45, 7, 8, 43, 12, 41, 14], [10, 44, 79, 65, 93, 61, 15, 58, 74, 24, 78, 39, 38], [18, 83, 67, 4, 99, 59, 96, 53, 47, 42, 6, 62, 40], [86, 87, 9, 89, 82, 94, 100, 25, 91, 68], [33, 50, 73, 76, 92, 2, 63, 5, 35, 30, 13, 34, 52, 22], [72, 20, 49, 32, 85, 66, 48, 88], [31, 55, 60, 36, 75, 71, 77, 84, 54, 19, 64, 29, 28, 21, 69, 57, 98], [97, 3, 27, 1, 80, 11, 51, 46, 95]]",false
6,1093,3413,2-opt,CMT3.vrp,"[[81, 23, 26, 56, 70, 90, 17, 14, 41, 16, 37, 45, 7, 8, 43, 12], [10, 44, 79, 65, 93, 61, 15, 58, 74, 24, 78, 39, 38], [18, 83, 67, 4, 99, 59, 96, 53, 47, 42, 6, 62, 40], [86, 87, 9, 89, 82, 94, 100, 25, 91, 68], [33, 50, 73, 76, 92, 2, 63, 5, 35, 30, 13, 34, 52, 22], [72, 20, 49, 32, 85, 66, 48, 88], [31, 55, 60, 36, 75, 71, 77, 84, 54, 19, 64, 29, 28, 21, 69, 57, 98], [97, 3, 27, 1, 80, 11, 51, 46, 95]]",false
7,1104,3386,2-opt,CMT3.vrp,"[[56, 26, 23, 81, 70, 90, 17, 14, 41, 16, 37, 45, 7, 8, 43, 12], [10, 44, 79, 65, 93, 61, 15, 58, 74, 24, 78, 39, 38], [18, 83, 67, 4, 99, 59, 96, 53, 47, 42, 6, 62, 40], [86, 87, 9, 89, 82, 94, 100, 25, 91, 68], [33, 50, 73, 76, 92, 2, 63, 5, 35, 30, 13, 34, 52, 22], [72, 20, 49, 32, 85, 66, 48, 88], [31, 55, 60, 36, 75, 71, 77, 84, 54, 19, 64, 29, 28, 21, 69, 57, 98], [97, 3, 27, 1, 80, 11, 51, 46, 95]]",false
8,1111,3378,2-opt,CMT3.vrp,"[[81, 26, 23, 56, 70, 90, 17, 14, 41, 16, 37, 45, 7, 8, 43, 12], [10, 44, 79, 65, 93, 61, 15, 58, 74, 24, 78, 39, 38], [18, 83, 67, 4, 99, 59, 96, 53, 47, 42, 6, 62, 40], [86, 87, 9, 89, 82, 94, 100, 25, 91, 68], [33, 50, 73, 76, 92, 2, 63, 5, 35, 30, 13, 34, 52, 22], [72, 20, 49, 32, 85, 66, 48, 88], [31, 55, 60, 36, 75, 71, 77, 84, 54, 19, 64, 29, 28, 21, 69, 57, 98], [97, 3, 27, 1, 80, 11, 51, 46, 95]]",false
9,1118,3374,2-opt,CMT3.vrp,"[[81, 23, 56, 26, 70, 90, 17, 14, 41, 16, 37, 45, 7, 8, 43, 12], [10, 44, 79, 65, 93, 61, 15, 58, 74, 24, 78, 39, 38], [18, 83, 67, 4, 99, 59, 96, 53, 47, 42, 6, 62, 40], [86, 87, 9, 89, 82, 94, 100, 25, 91, 68], [33, 50, 73, 76, 92, 2, 63, 5, 35, 30, 13, 34, 52, 22], [72, 20, 49, 32, 85, 66, 48, 88], [31, 55, 60, 36, 75, 71, 77, 84, 54, 19, 64, 29, 28, 21, 69, 57, 98], [97, 3, 27, 1, 80, 11, 51, 46, 95]]",false
