ruta_final
"[[21, 82, 121, 140, 94, 28], [32, 72, 110, 25, 56, 118, 147, 49, 182], [153, 79, 123, 70, 128, 13, 83, 27, 58, 45, 125], [178, 78, 194, 1, 191, 169, 129, 10, 189, 57, 40], [175, 132, 180, 7, 35, 179, 99, 177, 69, 14, 133, 19], [15, 154, 124, 20, 166], [188, 67, 159, 24, 145, 73, 16, 173, 36, 122, 174, 64, 101], [6, 81, 50, 12, 168, 126], [61, 112, 86, 186, 22, 142, 91, 141, 114, 156, 93], [51, 150, 52, 11, 170, 134, 84, 108, 149], [17, 130, 109, 39, 9, 161, 97, 187, 76], [71, 119, 77, 31, 163, 148, 135, 92, 18, 146], [3, 181, 44, 106, 55, 151], [30, 98, 29, 59, 47, 155, 37, 138, 88, 103, 5], [190, 41, 90, 143, 115, 184], [95, 75, 162, 131, 80, 165, 164, 85, 38, 100, 26, 60, 127], [96, 105, 195, 53, 198, 192, 116, 62, 185, 160], [87, 4, 54, 152], [42, 113, 137, 89, 68, 43, 199, 197, 193], [117, 63, 107, 74, 144, 183, 23, 104], [167, 8, 102, 176, 65, 46, 34, 111], [33, 158, 136, 196, 66, 157, 2, 48, 120, 171, 172, 139]]"
"[[152, 101, 28, 5, 103, 154, 15, 83, 70, 85, 84, 134, 108], [168, 50, 12, 169, 100, 81, 54, 2, 157], [41, 90, 190, 43, 141, 91, 142, 114, 140, 171, 48, 59, 30], [194, 199, 42, 68, 136, 197, 158, 1, 191, 66, 112], [11, 170, 164, 165, 52, 38, 119], [97, 161, 9, 75, 162, 110, 56, 118, 146, 18, 73, 145, 181], [151, 3, 55, 44, 187, 130, 150, 69, 133, 14, 180], [58, 153, 79, 124, 20, 37, 98, 125], [36, 122, 166, 138, 88, 29, 45], [126, 32, 148, 92, 135, 24, 107], [127, 87, 4, 111, 27, 179, 99, 34], [172, 173, 21, 94, 156, 22, 93, 186, 196, 104, 49, 63, 117], [71, 129, 39, 57, 189, 109, 147, 74, 144, 116, 23, 183, 188], [16, 182, 159, 67, 198, 53, 195, 33], [184, 115, 185, 62, 160, 192, 193], [10, 77, 80, 131, 31, 163, 25, 72, 106], [6, 96, 105, 61], [35, 78, 8, 149, 51, 7, 102, 178, 176, 46, 175, 60], [26, 132, 177, 19, 128, 123, 13, 167, 65], [139, 120, 47, 155, 174, 82, 121, 64, 86, 95, 40, 76, 17], [113, 137, 89, 143]]"
"[[30, 59, 5, 103, 28, 186, 24, 107, 63], [7, 132, 180, 150, 71, 169, 129, 10, 77, 119, 100, 26], [108, 170, 164, 85, 134, 184, 43, 190, 197, 136, 1, 191, 194], [6, 127, 111, 48, 171, 173, 121, 21, 172], [182, 49, 74, 144, 115, 90, 185, 137, 89], [151, 3, 117, 55, 44, 81, 51, 35, 78, 178, 8, 102], [67, 104, 23, 160, 41, 143, 68, 156, 139, 87, 4], [183, 62, 116, 145, 73, 18, 92, 135, 146, 147], [188, 16, 159, 181, 72, 118, 148, 163, 75, 189, 96, 33, 105], [122, 166, 20, 124, 154, 83, 13, 153, 29, 54, 152], [109, 57, 80, 131, 31, 162, 110, 56, 25, 161, 12, 168], [120, 47, 174, 82, 94, 64, 101, 2, 157], [40, 97, 9, 39, 130], [46, 176, 70, 123, 128, 19, 14, 133], [112, 66, 196, 91, 141, 22, 93, 86], [125, 98, 45, 27, 99, 179, 167, 65, 175, 60], [193, 158, 192, 198, 53, 195], [199, 42, 113, 142, 114, 140, 36, 155, 138, 37, 88, 15, 79], [106, 32, 187, 76, 17], [50, 52, 11, 84, 177, 69, 38, 165, 149, 34, 58], [126, 95, 61]]"
"[[197, 190, 43, 172, 171, 174, 173, 140, 94, 121, 82, 21, 120], [48, 47, 155, 122, 36, 88, 179, 99, 167, 65, 111], [193, 196, 141, 22, 93, 156, 91, 199], [4, 87, 125, 30, 139, 54], [101, 28, 186, 136, 192, 74, 144, 116, 62, 23], [149, 150, 38, 119, 129, 71, 168, 188, 96, 61, 6], [42, 41, 68, 143, 113, 89, 137, 142, 114, 64], [51, 35, 178, 78, 46, 34, 175, 60], [58, 13, 123, 83, 27, 29, 103, 59, 5, 79, 153, 45], [189, 57, 39, 109, 131, 80, 10, 169, 33, 194, 66, 112], [105, 159, 67, 183, 104, 158, 191, 1], [15, 154, 124, 20, 166, 138, 37, 98, 127], [182, 49, 63, 32, 12, 50, 100, 26, 126], [16, 117, 181, 147, 73, 145, 24, 107, 3, 151], [25, 56, 118, 72, 44, 55, 106, 187, 130, 40, 76, 95], [157, 86, 2, 152], [135, 146, 18, 148, 92, 163, 31, 177, 19, 70, 128, 102, 8, 176], [97, 161, 110, 75, 162, 9, 17], [185, 90, 160, 115, 184, 53, 198, 195], [134, 85, 164, 84, 14, 133, 69, 108, 180, 132, 7], [81, 77, 165, 170, 11, 52]]"
"[[30, 48, 47, 173, 171, 120], [111, 58, 27, 45, 98, 139, 157, 2, 3, 44, 55, 151, 95], [102, 178, 78, 38, 119, 77, 162, 75, 109, 39], [117, 24, 145, 107, 144, 74, 159, 16], [61, 33, 184, 68, 113, 137, 89, 143, 42], [129, 10, 80, 131, 72, 181, 67, 53, 198, 105, 188], [96, 195, 190, 90, 185, 62, 115, 41, 43, 199], [12, 130, 135, 148, 92, 118, 146, 73, 18, 147], [28, 101, 81, 168, 50, 169, 71, 100, 26, 182, 49, 63, 106, 40, 76], [172, 21, 121, 82, 140, 94, 156, 93, 86, 112], [114, 142, 91], [187, 97, 32, 110, 163, 25, 56, 161, 9], [29, 153, 79, 15, 154, 83, 123, 13, 8, 176, 46], [99, 179, 167, 65, 34], [37, 88, 138, 155, 174, 64, 160, 23, 116, 183, 104], [193, 191, 1, 136, 197, 192, 158, 66, 194, 186, 22, 141, 196], [175, 35, 108, 11, 170, 164, 85, 134, 84, 69, 7], [4, 87], [57, 189, 31, 165, 52, 150, 149, 60], [127, 70, 128, 19, 177, 133, 14, 180, 132, 51], [103, 5, 124, 20, 166, 122, 36, 59, 125], [17, 126, 6, 152, 54]]"
"[[48, 88, 37, 36, 122, 155], [63, 107, 74, 144, 62, 185, 90, 191, 1], [72, 18, 146, 135, 148, 92, 163, 161], [138, 166, 20, 167, 34, 175], [150, 52, 170, 85, 164, 165, 38], [173, 121, 82, 174, 47, 59, 29, 45, 111, 60], [6, 61, 96, 105, 117, 49, 182, 118, 25, 110, 56, 16, 195, 66], [71, 129, 119, 77, 10, 80, 131], [127, 188, 159, 67, 198, 104, 183, 116, 23], [75, 162, 31, 84, 134, 11, 108, 69, 100, 26], [51, 14, 133, 128, 70, 8, 102], [197, 43, 190, 184, 199, 42, 68, 143, 137, 89, 113, 136], [2, 101, 64, 28, 86, 157], [126, 55, 44, 106, 32, 97, 109, 39, 57, 189, 9], [58, 27, 123, 13, 83, 124, 15, 154, 153, 79, 103, 5, 98], [24, 145, 73, 147, 181, 3, 151, 95], [152, 54, 30, 120, 172, 171, 139], [112, 196, 93, 186, 125, 87, 4], [21, 140, 94, 156, 141, 91, 114, 142, 22], [168, 169, 50, 12, 40, 187, 130, 76, 17, 81], [33, 53, 41, 115, 160, 192, 158, 194, 193], [149, 35, 177, 19, 78, 178, 180, 132, 7, 176, 46, 65, 99, 179]]"
"[[112, 194, 158, 195, 193, 60, 51, 7, 132, 149], [126, 17, 168, 81, 26], [86, 64, 94, 140, 82, 37, 124, 154, 15, 5, 59], [172, 173, 21, 121, 171, 120, 139, 6, 188, 96, 105, 61], [33, 104, 49, 24, 145, 135, 31, 131, 189, 57, 130], [58, 79, 153, 99, 179, 167, 70, 128, 19, 78, 178, 102], [87, 4, 46, 150, 77, 10, 80, 40, 76], [151, 55, 44, 71, 69, 14, 133, 164, 85, 84, 134, 177], [35, 180, 108, 11, 170, 52, 165, 38, 119, 129], [192, 184, 199, 91, 142, 114, 186], [107, 63, 181, 182, 16, 117, 95, 152, 125, 98, 30, 54], [190, 43, 68, 42, 41, 90, 143, 115, 160], [65, 176, 8, 83, 123, 13, 27], [29, 103, 88, 138, 36, 155, 47, 48], [106, 72, 118, 25, 56, 92, 148, 163, 75, 162, 110, 161, 97], [127, 111, 34, 175, 100, 187, 32, 18, 73, 146, 147], [53, 198, 67, 159, 3, 9, 39, 109, 169, 12, 50], [113, 89, 137, 185, 62, 116, 74, 144, 183, 23, 1, 191, 197, 136], [45, 20, 166, 122, 174], [2, 157, 101, 28, 156, 93, 22, 141, 196, 66]]"
"[[126, 168, 26, 81], [61, 193, 1, 191, 136, 197, 192, 106, 187, 40, 76, 17], [160, 115, 90, 89, 137, 185, 143, 68, 42, 199, 194], [101, 28, 64, 171, 47, 120, 2, 157, 49, 182], [48, 59, 29, 80, 131, 31, 164, 85, 150, 100], [111, 99, 83, 123, 13, 51, 189, 162, 75, 110, 25, 56], [96, 53, 198, 195, 33, 6], [71, 129, 119, 38, 52, 11, 108, 180, 8, 176], [158, 184, 190, 43, 22, 156, 93], [66, 196, 186, 91, 142, 114, 141, 113, 41, 55, 44, 151], [112, 86, 152, 12, 50, 169, 10, 77, 165, 170, 14, 177], [130, 39, 109, 57], [88, 37, 138, 155, 174, 82, 173, 21, 140, 94, 121, 172, 139], [34, 179, 167, 70, 128, 19, 133, 84, 134, 69, 7], [188, 16, 159, 117, 3, 181, 147, 32, 97], [154, 15, 124, 20, 166, 122, 36], [30, 98, 45, 58, 27, 153, 79, 103, 5], [72, 18, 146, 135, 92, 73, 145, 24, 183, 104, 67, 105], [127, 60, 149, 46, 65, 175], [23, 62, 116, 144, 74, 107, 63, 95], [4, 87, 125, 54], [161, 9, 118, 148, 163, 132, 35, 178, 78, 102]]"
"[[47, 138, 37, 88, 154, 124, 15], [1, 43, 190, 197, 136, 160, 62, 115, 184, 158, 194], [55, 44, 106, 181, 49, 182, 159], [26, 69, 108, 170, 165, 77, 189, 161, 32, 97, 187], [135, 92, 148, 163, 110, 56, 25, 118, 72, 147, 3], [117, 63, 107, 74, 144, 24, 145, 73, 18, 146], [105, 193, 33, 96, 164, 85, 134, 84, 14, 177, 19, 8], [76, 9, 162, 75, 31, 131, 80, 10], [6, 61, 188, 151, 95, 126, 127], [81, 168, 71, 119, 38, 130, 40, 16, 53, 198, 195], [125, 58, 27, 179, 167, 99, 111, 4], [139, 171, 173, 121, 82, 140, 155, 36, 166, 20, 122, 174], [79, 153, 13, 83, 123, 133, 11, 52], [46, 65, 34, 87, 66, 196, 141, 22, 186], [12, 169, 50, 100, 35, 178, 78, 180, 132, 175], [60, 149, 51, 7, 150, 129, 57, 109, 39, 17], [67, 183, 116, 23, 104, 103, 5, 59, 30], [98, 45, 29, 48, 21, 94, 86], [41, 90, 143, 68, 137, 89, 185, 192], [54, 152, 2, 157, 101, 28, 64, 172, 120], [176, 70, 128, 102], [191, 199, 42, 113, 91, 142, 114, 156, 93, 112]]"
"[[147, 73, 18, 72, 118, 135, 92, 146, 181, 105, 33], [6, 151, 187, 32, 106, 44, 55, 3, 16, 117, 188], [193, 158, 53, 198, 104, 67, 159, 96, 61], [48, 103, 5, 59, 29, 98, 125, 4, 87], [41, 90, 143, 113, 138, 37, 124, 154, 45], [86, 101, 28, 156, 91, 142, 114, 94, 140, 64], [95, 17, 76, 40, 130, 12, 168, 81], [34, 65, 179, 58, 42, 68, 137, 89, 49, 182, 183, 23, 160, 184, 192], [9, 161, 110, 162, 75, 189, 129, 71, 132, 35, 178, 78, 8], [77, 80, 131, 163, 148, 31, 10, 169, 50], [195, 190, 115, 185, 62, 116, 74, 144, 145, 24, 107, 63], [57, 109, 39, 25, 56, 97, 194, 93, 22, 141, 186], [60, 108, 170, 11, 52, 150, 100, 26, 126], [152, 157, 2, 112, 66, 196, 1, 136, 43, 199, 197, 191], [27, 83, 13, 123, 128, 133, 164, 85, 69, 7, 149], [38, 165, 119, 51, 46, 175, 127], [54, 30, 172, 21, 82, 121, 173, 139], [47, 155, 88, 15, 79, 153, 102, 176], [111, 99, 167, 70, 19, 177, 14, 134, 84, 180], [120, 171, 174, 36, 122, 166, 20]]"
